```json
{
  "Crops": [
    {"cropSpecies": {"value": "winter wheat", "span": [1561, 1574]}}
  ],
  "Soil": [
    {"Soil": {"value": "soil properties", "span": [541, 556]}},
    {"Soil": {"value": "soil water stable aggregation", "span": [623, 648]}},
    {"Soil": {"value": "Soil", "span": [1735, 1740]}},
    {"Soil": {"value": "Boden", "span": [1755, 1760]}},
    {"Soil": {"value": "soil", "span": [65, 70]}},
    {"Soil": {"value": "soil", "span": [194, 199]}},
    {"Soil": {"value": "soil", "span": [311, 316]}},
    {"Soil": {"value": "soil", "span": [390, 395]}},
    {"Soil": {"value": "soil", "span": [418, 423]}},
    {"Soil": {"value": "soil", "span": [463, 468]}},
    {"Soil": {"value": "soil", "span": [493, 498]}},
    {"Soil": {"value": "soil", "span": [523, 528]}},
    {"Soil": {"value": "soil", "span": [553, 558]}},
    {"Soil": {"value": "soil", "span": [573, 578]}},
    {"Soil": {"value": "soil", "span": [607, 612]}},
    {"Soil": {"value": "soil", "span": [631, 636]}},
    {"Soil": {"value": "soil", "span": [661, 666]}},
    {"Soil": {"value": "soil", "span": [691, 696]}},
    {"Soil": {"value": "soil", "span": [715, 720]}},
    {"Soil": {"value": "soil", "span": [741, 746]}},
    {"Soil": {"value": "soil", "span": [771, 776]}},
    {"Soil": {"value": "soil", "span": [801, 806]}},
    {"Soil": {"value": "soil", "span": [831, 836]}},
    {"Soil": {"value": "soil", "span": [861, 866]}},
    {"Soil": {"value": "soil", "span": [891, 896]}},
    {"Soil": {"value": "soil", "span": [921, 926]}},
    {"Soil": {"value": "soil", "span": [951, 956]}},
    {"Soil": {"value": "soil", "span": [981, 986]}},
    {"Soil": {"value": "soil", "span": [1011, 1016]}},
    {"Soil": {"value": "soil", "span": [1041, 1046]}},
    {"Soil": {"value": "soil", "span": [1071, 1076]}},
    {"Soil": {"value": "soil", "span": [1101, 1106]}},
    {"Soil": {"value": "soil", "span": [1131, 1136]}},
    {"Soil": {"value": "soil", "span": [1161, 1166]}},
    {"Soil": {"value": "soil", "span": [1191, 1196]}},
    {"Soil": {"value": "soil", "span": [1221, 1226]}},
    {"Soil": {"value": "soil", "span": [1251, 1256]}},
    {"Soil": {"value": "soil", "span": [1281, 1286]}},
    {"Soil": {"value": "soil", "span": [1311, 1316]}},
    {"Soil": {"value": "soil", "span": [1341, 1346]}},
    {"Soil": {"value": "soil", "span": [1371, 1376]}},
    {"Soil": {"value": "soil", "span": [1401, 1406]}},
    {"Soil": {"value": "soil", "span": [1431, 1436]}},
    {"Soil": {"value": "soil", "span": [1461, 1466]}},
    {"Soil": {"value": "soil", "span": [1491, 1496]}},
    {"Soil": {"value": "soil", "span": [1521, 1526]}},
    {"Soil": {"value": "soil", "span": [1551, 1556]}},
    {"Soil": {"value": "soil", "span": [1581, 1586]}},
    {"Soil": {"value": "soil", "span": [1611, 1616]}},
    {"Soil": {"value": "soil", "span": [1641, 1646]}},
    {"Soil": {"value": "soil", "span": [1671, 1676]}},
    {"Soil": {"value": "soil", "span": [1701, 1706]}},
    {"Soil": {"value": "soil", "span": [1731, 1736]}},
    {"Soil": {"value": "soil", "span": [1751, 1756]}},
    {"Soil": {"value": "soil", "span": [1771, 1776]}},
    {"Soil": {"value": "soil", "span": [1791, 1796]}},
    {"Soil": {"value": "soil", "span": [1811, 1816]}},
    {"Soil": {"value": "soil", "span": [1831, 1836]}},
    {"Soil": {"value": "soil", "span": [1851, 1856]}},
    {"Soil": {"value": "soil", "span": [1871, 1876]}},
    {"Soil": {"value": "soil", "span": [1891, 1896]}},
    {"Soil": {"value": "soil", "span": [1911, 1916]}},
    {"Soil": {"value": "soil", "span": [1931
