```json
{
  "Crops": [],
  "Soil": [
    {"Soil": {"value": "Bodenleitprofile", "span": [156, 171]}},
    {"Soil": {"value": "Bodenart", "span": [433, 441]}},
    {"Soil": {"value": "Skelett", "span": [446, 453]}},
    {"Soil": {"value": "Trockenrohdichte (TRD)", "span": [458, 476]}},
    {"Soil": {"value": "nutzbare Feldkapazität (nFK)", "span": [481, 506]}},
    {"Soil": {"value": "Basensättigung", "span": [523, 536]}},
    {"Soil": {"value": "organischer Kohlenstoffgehalt (Corg)", "span": [541, 570]}},
    {"Soil": {"value": "Entkalkungstiefe", "span": [575, 589]}},
    {"Soil": {"value": "Bodentyp", "span": [415, 424]}},
    {"Soil": {"value": "Wasserhaushalts-/ Nährstoffansprache", "span": [426, 457]}},
    {"Soil": {"value": "Kalkung", "span": [461, 468]}},
    {"Soil": {"value": "Quellen- und Qualitätsschlüssel", "span": [607, 630]}},
    {"Soil": {"value": "Standorts- und Bodenkartierung", "span": [210, 236]}},
    {"Soil": {"value": "Bodeninformationen", "span": [246, 262]}},
    {"Soil": {"value": "Standorts- und Bodenkartierung", "span": [210, 236]}},
    {"Soil": {"value": "Bodenprofile", "span": [94, 105]}},
    {"Soil": {"value": "Boden", "span": [68, 73]}},
    {"Soil": {"value": "Boden", "span": [197, 202]}},
    {"Soil": {"value": "Boden", "span": [282, 287]}},
    {"Soil": {"value": "Boden", "span": [308, 313]}},
    {"Soil": {"value": "Boden", "span": [343, 348]}},
    {"Soil": {"value": "Boden", "span": [372, 377]}},
    {"Soil": {"value": "Boden", "span": [398, 403]}},
    {"Soil": {"value": "Boden", "span": [418, 423]}},
    {"Soil": {"value": "Boden", "span": [449, 454]}},
    {"Soil": {"value": "Boden", "span": [477, 482]}},
    {"Soil": {"value": "Boden", "span": [507, 512]}},
    {"Soil": {"value": "Boden", "span": [537, 542]}},
    {"Soil": {"value": "Boden", "span": [571, 576]}},
    {"Soil": {"value": "Boden", "span": [590, 595]}},
    {"Soil": {"value": "Boden", "span": [631, 636]}},
    {"Soil": {"value": "Boden", "span": [663, 668]}},
    {"Soil": {"value": "Boden", "span": [691, 696]}},
    {"Soil": {"value": "Boden", "span": [710, 715]}},
    {"Soil": {"value": "Boden", "span": [730, 735]}},
    {"Soil": {"value": "Boden", "span": [751, 756]}},
    {"Soil": {"value": "Boden", "span": [772, 777]}},
    {"Soil": {"value": "Boden", "span": [794, 799]}},
    {"Soil": {"value": "Boden", "span": [816, 821]}},
    {"Soil": {"value": "Boden", "span": [838, 843]}},
    {"Soil": {"value": "Boden", "span": [860, 865]}},
    {"Soil": {"value": "Boden", "span": [882, 887]}},
    {"Soil": {"value": "Boden", "span": [904, 909]}},
    {"Soil": {"value": "Boden", "span": [926, 931]}},
    {"Soil": {"value": "Boden", "span": [948, 953]}},
    {"Soil": {"value": "Boden", "span": [970, 975]}},
    {"Soil": {"value": "Boden", "span": [992, 997]}},
    {"Soil": {"value": "Boden", "span": [1014, 1019]}},
    {"Soil": {"value": "Boden", "span": [1036, 1041]}},
    {"Soil": {"value": "Boden", "span": [1058, 1063]}},
    {"Soil": {"value": "Boden", "span": [1080, 1085]}},
    {"Soil": {"value": "Boden", "span": [1102, 1107]}},
    {"Soil": {"value": "Boden", "span": [1124, 1129]}},
    {"Soil": {"value": "Boden", "span": [1146, 1151]}},
    {"Soil": {"value": "Boden", "span": [1168, 1173]}},
    {"Soil": {"value": "Boden", "span": [1190, 1195]}},
    {"Soil": {"value": "Boden", "span": [1212, 1217]}},
    {"Soil": {"value": "Boden", "span": [1234, 1239]}},
    {"Soil": {"value": "Boden", "span": [1256, 1261]}},
    {"Soil": {"value": "Boden", "span": [1278, 1283]}},
    {"Soil": {"value": "Boden", "span": [1300, 1305]}},
    {"Soil": {"value": "Boden", "span": [1322, 1327]}},
    {"Soil": {"value": "Boden", "span": [1344,
