```json
{
  "Crops": [
    {"cropSpecies": {"value": "wheat", "span": [1556, 1561]}}
  ],
  "Soil": [
    {"Soil": {"value": "soil properties", "span": [281, 296]}},
    {"Soil": {"value": "soil water stable aggregation", "span": [359, 388]}},
    {"Soil": {"value": "Soil", "span": [1735, 1740]}},
    {"Soil": {"value": "Soil properties", "span": [1941, 1956]}},
    {"Soil": {"value": "Boden", "span": [2024, 2029]}},
    {"Soil": {"value": "soil", "span": [208, 212]}},
    {"Soil": {"value": "soil", "span": [234, 238]}},
    {"Soil": {"value": "soil", "span": [463, 467]}},
    {"Soil": {"value": "soil", "span": [503, 507]}},
    {"Soil": {"value": "soil", "span": [529, 533]}},
    {"Soil": {"value": "soil", "span": [566, 570]}},
    {"Soil": {"value": "soil", "span": [650, 654]}},
    {"Soil": {"value": "soil", "span": [678, 682]}},
    {"Soil": {"value": "soil", "span": [710, 714]}},
    {"Soil": {"value": "soil", "span": [763, 767]}},
    {"Soil": {"value": "soil", "span": [814, 818]}},
    {"Soil": {"value": "soil", "span": [843, 847]}},
    {"Soil": {"value": "soil", "span": [872, 876]}},
    {"Soil": {"value": "soil", "span": [918, 922]}},
    {"Soil": {"value": "soil", "span": [947, 951]}},
    {"Soil": {"value": "soil", "span": [973, 977]}},
    {"Soil": {"value": "soil", "span": [1005, 1009]}},
    {"Soil": {"value": "soil", "span": [1036, 1040]}},
    {"Soil": {"value": "soil", "span": [1067, 1071]}},
    {"Soil": {"value": "soil", "span": [1099, 1103]}},
    {"Soil": {"value": "soil", "span": [1129, 1133]}},
    {"Soil": {"value": "soil", "span": [1158, 1162]}},
    {"Soil": {"value": "soil", "span": [1186, 1190]}},
    {"Soil": {"value": "soil", "span": [1214, 1218]}},
    {"Soil": {"value": "soil", "span": [1241, 1245]}},
    {"Soil": {"value": "soil", "span": [1267, 1271]}},
    {"Soil": {"value": "soil", "span": [1293, 1297]}},
    {"Soil": {"value": "soil", "span": [1319, 1323]}},
    {"Soil": {"value": "soil", "span": [1345, 1349]}},
    {"Soil": {"value": "soil", "span": [1371, 1375]}},
    {"Soil": {"value": "soil", "span": [1397, 1401]}},
    {"Soil": {"value": "soil", "span": [1423, 1427]}},
    {"Soil": {"value": "soil", "span": [1450, 1454]}},
    {"Soil": {"value": "soil", "span": [1476, 1480]}},
    {"Soil": {"value": "soil", "span": [1502, 1506]}},
    {"Soil": {"value": "soil", "span": [1528, 1532]}},
    {"Soil": {"value": "soil", "span": [1552, 1556]}},
    {"Soil": {"value": "soil", "span": [1578, 1582]}},
    {"Soil": {"value": "soil", "span": [1604, 1608]}},
    {"Soil": {"value": "soil", "span": [1630, 1634]}},
    {"Soil": {"value": "soil", "span": [1656, 1660]}},
    {"Soil": {"value": "soil", "span": [1682, 1686]}},
    {"Soil": {"value": "soil", "span": [1708, 1712]}},
    {"Soil": {"value": "soil", "span": [1734, 1738]}},
    {"Soil": {"value": "soil", "span": [1760, 1764]}},
    {"Soil": {"value": "soil", "span": [1786, 1790]}},
    {"Soil": {"value": "soil", "span": [1812, 1816]}},
    {"Soil": {"value": "soil", "span": [1838, 1842]}},
    {"Soil": {"value": "soil", "span": [1864, 1868]}},
    {"Soil": {"value": "soil", "span": [1890, 1894]}},
    {"Soil": {"value": "soil", "span": [1916, 1920]}},
    {"Soil": {"value": "soil", "span": [1940, 1944]}},
    {"Soil": {"value": "soil", "span": [1964, 1968]}},
    {"Soil": {"value": "soil", "span": [1988, 1992]}},
    {"Soil": {"value": "soil", "span": [2012, 2016]}},
    {"Soil": {"value": "soil", "span": [2036, 2040]}},
    {"Soil": {"value": "soil", "span": [2060, 2064]}},
   
