```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [156, 171]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [329, 336]}},
    {"cropSpecies": {"value": "SWD", "span": [391, 394]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1041, 1056]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1128, 1143]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1435, 1450]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1542, 1557]}},
    {"cropSpecies": {"value": "apple", "span": [1771, 176]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2019, 2034]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2175, 2190]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2425, 2440]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2632, 2647]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2831, 2846]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3005, 3020]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3107, 3122]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3233, 3248]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3362, 3377]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3511, 3526]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3661, 3676]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3824, 3839]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3985, 4000]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4145, 4160]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4308, 4323]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4471, 4486]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4636, 4651]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4800, 4815]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4967, 4982]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5133, 5148]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5301, 5316]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5468, 5483]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5637, 5652]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5805, 5820]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5975, 5990]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6143, 6158]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6314, 6329]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6483, 6498]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6655, 6670]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6825, 6840]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6997, 7012]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7167, 7182]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7339, 7354]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7510, 7525]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7684, 7699]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7856, 7871]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8031, 8046]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8205, 8220]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8380, 8395]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8554, 8569]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8730, 8745]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8905, 8920]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [9083, 9098]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [9259, 9274]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [9438, 9453]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [
