```json
{
  "Crops": [],
  "Soil": [
    {"Soil": {"value": "Bodenleitprofile", "span": [106, 120]}},
    {"Soil": {"value": "Bodenart", "span": [541, 549]}},
    {"Soil": {"value": "Skelett", "span": [553, 560]}},
    {"Soil": {"value": "Trockenrohdichte (TRD)", "span": [565, 584]}},
    {"Soil": {"value": "nutzbare Feldkapazität (nFK)", "span": [589, 614]}},
    {"Soil": {"value": "Basensättigung", "span": [641, 655]}},
    {"Soil": {"value": "organischer Kohlenstoffgehalt (Corg)", "span": [661, 687]}},
    {"Soil": {"value": "Entkalkungstiefe", "span": [693, 707]}},
    {"Soil": {"value": "Boden", "span": [727, 732]}},
    {"Soil": {"value": "Bodentyp", "span": [520, 528]}},
    {"Soil": {"value": "Wasserhaushalts-", "span": [532, 547]}},
    {"Soil": {"value": "Nährstoffansprache", "span": [548, 565]}},
    {"Soil": {"value": "Kalkung", "span": [570, 577]}},
    {"Soil": {"value": "Bodenkartierung", "span": [246, 261]}},
    {"Soil": {"value": "Bodeninformationen", "span": [275, 292]}},
    {"Soil": {"value": "Bodenkundler", "span": [324, 335]}},
    {"Soil": {"value": "Bodendaten", "span": [364, 373]}},
    {"Soil": {"value": "Bodenprofile", "span": [92, 104]}},
    {"Soil": {"value": "Boden", "span": [14, 19]}},
    {"Soil": {"value": "Boden", "span": [756, 761]}},
    {"Soil": {"value": "Bodennährstoff", "span": [808, 821]}},
    {"Soil": {"value": "Bodenparameter", "span": [827, 841]}},
    {"Soil": {"value": "Bodenqualität", "span": [848, 860]}},
    {"Soil": {"value": "Bodenquellen", "span": [866, 877]}},
    {"Soil": {"value": "Bodenarten", "span": [884, 894]}},
    {"Soil": {"value": "Bodenhorizont", "span": [900, 913]}},
    {"Soil": {"value": "Bodenhorizonten", "span": [919, 933]}},
    {"Soil": {"value": "Bodentypen", "span": [940, 951]}},
    {"Soil": {"value": "Bodenverhältnisse", "span": [958, 973]}},
    {"Soil": {"value": "Bodenverteilung", "span": [980, 995]}},
    {"Soil": {"value": "Bodenwasserhaushalt", "span": [1002, 1019]}},
    {"Soil": {"value": "Bodennutzung", "span": [1026, 1038]}},
    {"Soil": {"value": "Bodenbewirtschaftung", "span": [1044, 1061]}},
    {"Soil": {"value": "Bodenbewirtschaftungssysteme", "span": [1067, 1089]}},
    {"Soil": {"value": "Bodenschutz", "span": [1096, 1106]}},
    {"Soil": {"value": "Bodenschutzgebiete", "span": [1112, 1128]}},
    {"Soil": {"value": "Bodenschutzkonzepte", "span": [1134, 1151]}},
    {"Soil": {"value": "Bodenschutzmassnahmen", "span": [1157, 1175]}},
    {"Soil": {"value": "Bodenschutzstrategien", "span": [1181, 1198]}},
    {"Soil": {"value": "Bodenschutzsysteme", "span": [1204, 1220]}},
    {"Soil": {"value": "Bodenökologie", "span": [1226, 1238]}},
    {"Soil": {"value": "Bodenökologische", "span": [1244, 1259]}},
    {"Soil": {"value": "Bodenökologie", "span": [1265, 1277]}},
    {"Soil": {"value": "Bodenökologisches", "span": [1283, 1298]}},
    {"Soil": {"value": "Bodenökologische", "span": [1304, 1319]}},
    {"Soil": {"value": "Bodenökologie", "span": [1325, 1337]}},
    {"Soil": {"value": "Bodenökologische", "span": [1343, 1358]}},
    {"Soil": {"value": "Bodenökologisches", "span": [1364, 1379]}},
    {"Soil": {"value": "Boden", "span": [1385, 1390]}},
    {"Soil": {"value": "Boden", "span": [1396, 1401]}},
    {"Soil": {"value": "Boden", "span": [1407, 1412]}},
    {"Soil": {"value": "Boden", "span": [1418, 1423]}},
    {"Soil": {"value": "Boden", "span": [1429, 1434]}},
    {"Soil": {"value": "Boden", "span": [1440, 1445]}},
    {"Soil": {"value": "Boden", "span": [1451, 1456]}},
    {"Soil": {"value": "Boden", "span": [1462, 1467]}},
    {"Soil": {"value": "Boden", "span": [1473, 1478]}},
    {"Soil": {"value": "Boden", "span": [1484, 1489]}},
    {"Soil": {"value": "
