```json
{
  "Crops": [
    {"cropSpecies": { "value": "spring barley", "span": [311, 320] }},
    {"cropSpecies": { "value": "serradella", "span": [324, 332] }}
  ],
  "Soil": [
    {"Soil": { "value": "pore water", "span": [135, 142] }},
    {"Soil": { "value": "redox potential", "span": [160, 171] }},
    {"Soil": { "value": "pH", "span": [174, 176] }},
    {"Soil": { "value": "element concentrations", "span": [179, 194] }},
    {"Soil": { "value": "TC", "span": [355, 357] }},
    {"Soil": { "value": "IC", "span": [359, 361] }},
    {"Soil": { "value": "OC", "span": [363, 365] }},
    {"Soil": { "value": "TN", "span": [367, 369] }},
    {"Soil": { "value": "NH4+ -N", "span": [371, 380] }},
    {"Soil": { "value": "NO2- -N", "span": [382, 391] }},
    {"Soil": { "value": "NO3- -N", "span": [393, 402] }},
    {"Soil": { "value": "PO43- -P", "span": [404, 415] }},
    {"Soil": { "value": "total Ca", "span": [417, 422] }},
    {"Soil": { "value": "Fe", "span": [424, 426] }},
    {"Soil": { "value": "Al", "span": [428, 430] }},
    {"Soil": { "value": "Mn", "span": [432, 434] }},
    {"Soil": { "value": "DIC", "span": [465, 468] }},
    {"Soil": { "value": "DOC", "span": [470, 473] }},
    {"Soil": { "value": "PO43- -P", "span": [475, 486] }},
    {"Soil": { "value": "NH4+ -N", "span": [488, 497] }},
    {"Soil": { "value": "NO2- -N", "span": [499, 508] }},
    {"Soil": { "value": "NO3- -N", "span": [510, 519] }},
    {"Soil": { "value": "pore water", "span": [522, 529] }},
    {"Soil": { "value": "redox potential", "span": [546, 557] }},
    {"Soil": { "value": "pH", "span": [560, 562] }},
    {"Soil": { "value": "element concentrations", "span": [565, 580] }},
    {"Soil": { "value": "total C", "span": [582, 587] }},
    {"Soil": { "value": "N", "span": [589, 590] }},
    {"Soil": { "value": "P", "span": [592, 593] }},
    {"Soil": { "value": "Al", "span": [595, 597] }},
    {"Soil": { "value": "Fe", "span": [599, 601] }},
    {"Soil": { "value": "Mn", "span": [603, 605] }},
    {"Soil": { "value": "Ca", "span": [607, 609] }},
    {"Soil": { "value": "inorganic C", "span": [611, 621] }},
    {"Soil": { "value": "organic C", "span": [623, 631] }},
    {"Soil": { "value": "PO43- -P", "span": [633, 644] }},
    {"Soil": { "value": "NH4+ -N", "span": [646, 655] }},
    {"Soil": { "value": "NO2- -N", "span": [657, 666] }},
    {"Soil": { "value": "NO3- -N", "span": [668, 677] }},
    {"Soil": { "value": "pore water", "span": [713, 720] }},
    {"Soil": { "value": "redox potential", "span": [728, 739] }},
    {"Soil": { "value": "pH", "span": [742, 744] }},
    {"Soil": { "value": "element concentrations", "span": [747, 762] }},
    {"Soil": { "value": "total C", "span": [764, 769] }},
    {"Soil": { "value": "N", "span": [771, 772] }},
    {"Soil": { "value": "P", "span": [774, 775] }},
    {"Soil": { "value": "Al", "span": [777, 779] }},
    {"Soil": { "value": "Fe", "span": [781, 783] }},
    {"Soil": { "value": "Mn", "span": [785, 787] }},
    {"Soil": { "value": "Ca", "span": [789, 791] }},
    {"Soil": { "value": "DIC", "span": [801, 804] }},
    {"Soil": { "value": "DOC", "span": [806, 8
