```json
{
  "Crops": [
    {"cropSpecies": {"value": "barley", "span": [153, 158]}},
    {"cropSpecies": {"value": "Hordeum vulgare", "span": [1213, 1225]}},
    {"cropSpecies": {"value": "oilseed rape", "span": [1241, 1251]}},
    {"cropSpecies": {"value": "wheat", "span": [1253, 1258]}},
    {"cropSpecies": {"value": "lupine", "span": [1260, 1266]}},
    {"cropSpecies": {"value": "rye", "span": [1268, 1270]}}
  ],
  "Soil": [
    {"Soil": {"value": "phosphorus", "span": [21, 29]}},
    {"Soil": {"value": "P", "span": [29, 30]}},
    {"Soil": {"value": "P", "span": [63, 64]}},
    {"Soil": {"value": "rock phosphate", "span": [78, 88]}},
    {"Soil": {"value": "P", "span": [103, 104]}},
    {"Soil": {"value": "BC", "span": [110, 112]}},
    {"Soil": {"value": "P", "span": [113, 114]}},
    {"Soil": {"value": "HA", "span": [128, 130]}},
    {"Soil": {"value": "P", "span": [133, 134]}},
    {"Soil": {"value": "P", "span": [169, 170]}},
    {"Soil": {"value": "BCplus", "span": [183, 189]}},
    {"Soil": {"value": "P", "span": [196, 197]}},
    {"Soil": {"value": "P", "span": [218, 219]}},
    {"Soil": {"value": "PCAL", "span": [233, 237]}},
    {"Soil": {"value": "P", "span": [256, 257]}},
    {"Soil": {"value": "PCAL", "span": [269, 273]}},
    {"Soil": {"value": "P", "span": [284, 285]}},
    {"Soil": {"value": "PCAL", "span": [297, 301]}},
    {"Soil": {"value": "P", "span": [312, 313]}},
    {"Soil": {"value": "P", "span": [324, 325]}},
    {"Soil": {"value": "P", "span": [355, 356]}},
    {"Soil": {"value": "P", "span": [386, 387]}},
    {"Soil": {"value": "P", "span": [400, 401]}},
    {"Soil": {"value": "P", "span": [414, 415]}},
    {"Soil": {"value": "P", "span": [427, 428]}},
    {"Soil": {"value": "P", "span": [439, 440]}},
    {"Soil": {"value": "P", "span": [451, 452]}},
    {"Soil": {"value": "P", "span": [463, 464]}},
    {"Soil": {"value": "P", "span": [475, 476]}},
    {"Soil": {"value": "P", "span": [487, 488]}},
    {"Soil": {"value": "P", "span": [501, 502]}},
    {"Soil": {"value": "P", "span": [515, 516]}},
    {"Soil": {"value": "P", "span": [529, 530]}},
    {"Soil": {"value": "P", "span": [543, 544]}},
    {"Soil": {"value": "P", "span": [557, 558]}},
    {"Soil": {"value": "P", "span": [571, 572]}},
    {"Soil": {"value": "P", "span": [585, 586]}},
    {"Soil": {"value": "P", "span": [599, 600]}},
    {"Soil": {"value": "P", "span": [613, 614]}},
    {"Soil": {"value": "P", "span": [627, 628]}},
    {"Soil": {"value": "P", "span": [641, 642]}},
    {"Soil": {"value": "P", "span": [655, 656]}},
    {"Soil": {"value": "P", "span": [669, 670]}},
    {"Soil": {"value": "P", "span": [683, 684]}},
    {"Soil": {"value": "P", "span": [697, 698]}},
    {"Soil": {"value": "P", "span": [711, 712]}},
    {"Soil": {"value": "P", "span": [725, 726]}},
    {"Soil": {"value": "P", "span": [739, 740]}},
    {"Soil": {"value": "P", "span": [753, 754]}},
    {"Soil": {"value": "P", "span": [767, 768]}},
    {"Soil": {"value": "P", "span": [781, 782]}},
    {"Soil": {"value": "P", "span": [795, 796]}},
    {"Soil": {"value": "P",
