```json
{
  "Crops": [],
  "Soil": [
    {"Soil": { "value": "soil organic carbon (SOC)", "span": [100, 121] }},
    {"Soil": { "value": "soil organic nitrogen (SON)", "span": [125, 148] }},
    {"Soil": { "value": "N mineralisation", "span": [181, 194] }},
    {"Soil": { "value": "N immobilisation", "span": [198, 212] }},
    {"Soil": { "value": "SOC", "span": [244, 247] }},
    {"Soil": { "value": "SON", "span": [262, 265] }},
    {"Soil": { "value": "C and N", "span": [384, 390] }},
    {"Soil": { "value": "C and N", "span": [412, 418] }},
    {"Soil": { "value": "N", "span": [441, 442] }},
    {"Soil": { "value": "C", "span": [445, 446] }},
    {"Soil": { "value": "C and N", "span": [457, 463] }},
    {"Soil": { "value": "N", "span": [467, 468] }},
    {"Soil": { "value": "C and N", "span": [494, 500] }},
    {"Soil": { "value": "N", "span": [503, 504] }},
    {"Soil": { "value": "C", "span": [507, 508] }},
    {"Soil": { "value": "C and N", "span": [527, 533] }},
    {"Soil": { "value": "N", "span": [536, 537] }},
    {"Soil": { "value": "C", "span": [540, 541] }},
    {"Soil": { "value": "C", "span": [556, 557] }},
    {"Soil": { "value": "N", "span": [560, 561] }},
    {"Soil": { "value": "C", "span": [564, 565] }},
    {"Soil": { "value": "N", "span": [568, 569] }},
    {"Soil": { "value": "C", "span": [572, 573] }},
    {"Soil": { "value": "N", "span": [576, 577] }},
    {"Soil": { "value": "C", "span": [580, 581] }},
    {"Soil": { "value": "N", "span": [584, 585] }},
    {"Soil": { "value": "C", "span": [588, 589] }},
    {"Soil": { "value": "N", "span": [592, 593] }},
    {"Soil": { "value": "C", "span": [596, 597] }},
    {"Soil": { "value": "N", "span": [600, 601] }},
    {"Soil": { "value": "C", "span": [604, 605] }},
    {"Soil": { "value": "N", "span": [608, 609] }},
    {"Soil": { "value": "C", "span": [612, 613] }},
    {"Soil": { "value": "N", "span": [616, 617] }},
    {"Soil": { "value": "C", "span": [620, 621] }},
    {"Soil": { "value": "N", "span": [624, 625] }},
    {"Soil": { "value": "C", "span": [628, 629] }},
    {"Soil": { "value": "N", "span": [632, 633] }},
    {"Soil": { "value": "C", "span": [636, 637] }},
    {"Soil": { "value": "N", "span": [640, 641] }},
    {"Soil": { "value": "C", "span": [644, 645] }},
    {"Soil": { "value": "N", "span": [648, 649] }},
    {"Soil": { "value": "C", "span": [652, 653] }},
    {"Soil": { "value": "N", "span": [656, 657] }},
    {"Soil": { "value": "C", "span": [660, 661] }},
    {"Soil": { "value": "N", "span": [664, 665] }},
    {"Soil": { "value": "C", "span": [668, 669] }},
    {"Soil": { "value": "N", "span": [672, 673] }},
    {"Soil": { "value": "C", "span": [676, 677] }},
    {"Soil": { "value": "N", "span": [680, 681] }},
    {"Soil": { "value": "C", "span": [684, 685] }},
    {"Soil": { "value": "N", "span": [688, 689] }},
    {"Soil": { "value": "C", "span": [692, 693] }},
    {"Soil": { "value": "N", "span": [696, 697] }},
    {"Soil": { "value": "C", "span": [700, 701] }},
    {"Soil": { "value": "N", "span": [704, 705] }},
    {"Soil
