```json
{
  "Crops": [
    {"cropSpecies": { "value": "barley", "span": [103, 109] }},
    {"cropSpecies": { "value": "Hordeum vulgare", "span": [1574, 1589] }},
    {"cropSpecies": { "value": "oilseed rape", "span": [1449, 1461] }},
    {"cropSpecies": { "value": "wheat", "span": [1466, 1471] }},
    {"cropSpecies": { "value": "lupine", "span": [1477, 1483] }},
    {"cropSpecies": { "value": "rye", "span": [1488, 1492] }}
  ],
  "Soil": [
    {"Soil": { "value": "rock phosphate", "span": [245, 259] }},
    {"Soil": { "value": "hydroxylapatite", "span": [404, 419] }},
    {"Soil": { "value": "PCAL", "span": [568, 573] }},
    {"Soil": { "value": "soil P", "span": [622, 627] }},
    {"Soil": { "value": "soil P", "span": [673, 678] }},
    {"Soil": { "value": "soil P", "span": [751, 756] }},
    {"Soil": { "value": "soil class A", "span": [832, 842] }},
    {"Soil": { "value": "11 mg kg-1 PCAL", "span": [846, 862] }},
    {"Soil": { "value": "soil class B", "span": [871, 881] }},
    {"Soil": { "value": "21 mg kg-1 PCAL", "span": [885, 901] }},
    {"Soil": { "value": "soil class C", "span": [910, 920] }},
    {"Soil": { "value": "47 mg kg-1 PCAL", "span": [924, 940] }},
    {"Soil": { "value": "soil P", "span": [975, 980] }},
    {"Soil": { "value": "soil P", "span": [993, 998] }},
    {"Soil": { "value": "soil P", "span": [1016, 1021] }},
    {"Soil": { "value": "soil P", "span": [1039, 1044] }},
    {"Soil": { "value": "soil P", "span": [1062, 1067] }},
    {"Soil": { "value": "soil P", "span": [1085, 1090] }},
    {"Soil": { "value": "soil P", "span": [1103, 1108] }},
    {"Soil": { "value": "soil P", "span": [1126, 1131] }},
    {"Soil": { "value": "soil P", "span": [1149, 1154] }},
    {"Soil": { "value": "soil P", "span": [1172, 1177] }},
    {"Soil": { "value": "soil P", "span": [1195, 1200] }},
    {"Soil": { "value": "soil P", "span": [1218, 1223] }},
    {"Soil": { "value": "soil P", "span": [1241, 1246] }},
    {"Soil": { "value": "soil P", "span": [1264, 1269] }},
    {"Soil": { "value": "soil P", "span": [1287, 1292] }},
    {"Soil": { "value": "soil P", "span": [1310, 1315] }},
    {"Soil": { "value": "soil P", "span": [1333, 1338] }},
    {"Soil": { "value": "soil P", "span": [1356, 1361] }},
    {"Soil": { "value": "soil P", "span": [1379, 1384] }},
    {"Soil": { "value": "soil P", "span": [1402, 1407] }},
    {"Soil": { "value": "soil P", "span": [1425, 1430] }},
    {"Soil": { "value": "soil P", "span": [1448, 1453] }},
    {"Soil": { "value": "soil P", "span": [1465, 1470] }},
    {"Soil": { "value": "soil P", "span": [1486, 1491] }},
    {"Soil": { "value": "soil P", "span": [1507, 1512] }},
    {"Soil": { "value": "soil P", "span": [1529, 1534] }},
    {"Soil": { "value": "soil P", "span": [1551, 1556] }},
    {"Soil": { "value": "soil P", "span": [1573, 1578] }},
    {"Soil": { "value": "soil P", "span": [1595, 1600] }},
    {"Soil": { "value": "soil P", "span": [1617, 1622] }},
    {"Soil": { "value": "soil P", "span": [1639, 1644] }},
    {"Soil": { "value": "soil P", "span": [1662, 
