```json
{
  "Crops": [
    {"cropSpecies": { "value": "wheat", "span": [251, 256] }},
    {"cropSpecies": { "value": "barley", "span": [263, 268] }},
    {"cropSpecies": { "value": "sugar beet", "span": [274, 283] }},
    {"cropSpecies": { "value": "barley", "span": [625, 630] }},
    {"cropSpecies": { "value": "sugar beet", "span": [635, 644] }}
  ],
  "Soil": [
    {"Soil": { "value": "soil", "span": [12, 16] }},
    {"Soil": { "value": "soil", "span": [57, 61] }},
    {"Soil": { "value": "soil fertility", "span": [437, 450] }},
    {"Soil": { "value": "soil", "span": [452, 456] }},
    {"Soil": { "value": "soil", "span": [466, 470] }},
    {"Soil": { "value": "bulk soil", "span": [599, 607] }},
    {"Soil": { "value": "soil", "span": [673, 677] }},
    {"Soil": { "value": "soil", "span": [713, 717] }},
    {"Soil": { "value": "soil", "span": [753, 757] }},
    {"Soil": { "value": "soil", "span": [778, 782] }},
    {"Soil": { "value": "soil", "span": [811, 815] }},
    {"Soil": { "value": "soil", "span": [856, 860] }},
    {"Soil": { "value": "soil", "span": [915, 919] }},
    {"Soil": { "value": "soil", "span": [921, 925] }},
    {"Soil": { "value": "soil", "span": [927, 931] }},
    {"Soil": { "value": "soil", "span": [933, 937] }},
    {"Soil": { "value": "soil", "span": [939, 943] }},
    {"Soil": { "value": "soil", "span": [945, 949] }},
    {"Soil": { "value": "soil", "span": [951, 955] }},
    {"Soil": { "value": "soil", "span": [957, 961] }},
    {"Soil": { "value": "soil", "span": [963, 967] }},
    {"Soil": { "value": "soil", "span": [969, 973] }},
    {"Soil": { "value": "soil", "span": [975, 979] }},
    {"Soil": { "value": "soil", "span": [981, 985] }},
    {"Soil": { "value": "soil", "span": [987, 991] }},
    {"Soil": { "value": "soil", "span": [993, 997] }},
    {"Soil": { "value": "soil", "span": [999, 1003] }},
    {"Soil": { "value": "soil", "span": [1005, 1009] }},
    {"Soil": { "value": "soil", "span": [1011, 1015] }},
    {"Soil": { "value": "soil", "span": [1017, 1021] }},
    {"Soil": { "value": "soil", "span": [1023, 1027] }},
    {"Soil": { "value": "soil", "span": [1029, 1033] }},
    {"Soil": { "value": "soil", "span": [1035, 1039] }},
    {"Soil": { "value": "soil", "span": [1041, 1045] }},
    {"Soil": { "value": "soil", "span": [1047, 1051] }},
    {"Soil": { "value": "soil", "span": [1053, 1057] }},
    {"Soil": { "value": "soil", "span": [1059, 1063] }},
    {"Soil": { "value": "soil", "span": [1065, 1069] }},
    {"Soil": { "value": "soil", "span": [1071, 1075] }},
    {"Soil": { "value": "soil", "span": [1077, 1081] }},
    {"Soil": { "value": "soil", "span": [1083, 1087] }},
    {"Soil": { "value": "soil", "span": [1089, 1093] }},
    {"Soil": { "value": "soil", "span": [1095, 1099] }},
    {"Soil": { "value": "soil", "span": [1101, 1105] }},
    {"Soil": { "value": "soil", "span": [1107, 1111] }},
    {"Soil": { "value": "soil", "span": [1113, 1117] }},
    {"Soil": { "value": "soil", "span": [1119, 1123] }},
    {"Soil": { "value": "soil", "span": [1125, 1129] }},
    {"Soil": { "value":
