```json
{
  "Crops": [],
  "Soil": [],
  "Location": [
    {"region": {"value": "nova-Institut", "span": [287, 298]}},
    {"region": {"value": "Thünen-Institut für Waldwirtschaft", "span": [421, 449]}},
    {"region": {"value": "Rome", "span": [1168, 1172]}},
    {"region": {"value": "Hürth", "span": [1288, 1293]}},
    {"country": {"value": "Germany", "span": [1264, 1271]}},
    {"country": {"value": "USA", "span": [862, 866]}},
    {"country": {"value": "China", "span": [924, 929]}},
    {"country": {"value": "India", "span": [937, 942]}},
    {"country": {"value": "Brazil", "span": [950, 956]}},
    {"country": {"value": "Canada", "span": [964, 970]}},
    {"country": {"value": "Russia", "span": [978, 984]}},
    {"country": {"value": "Australia", "span": [992, 1000]}},
    {"country": {"value": "South Africa", "span": [1008, 1018]}},
    {"country": {"value": "Indonesia", "span": [1026, 1034]}},
    {"country": {"value": "Malaysia", "span": [1042, 1050]}},
    {"country": {"value": "Thailand", "span": [1058, 1066]}},
    {"country": {"value": "Vietnam", "span": [1074, 1081]}},
    {"country": {"value": "Philippines", "span": [1089, 1098]}},
    {"country": {"value": "Mexico", "span": [1106, 1112]}},
    {"country": {"value": "Argentina", "span": [1120, 1128]}},
    {"country": {"value": "Pakistan", "span": [1136, 1143]}},
    {"country": {"value": "Turkey", "span": [1151, 1157]}},
    {"country": {"value": "Japan", "span": [1160, 1165]}},
    {"country": {"value": "South Korea", "span": [1170, 1178]}},
    {"country": {"value": "France", "span": [1181, 1186]}},
    {"country": {"value": "United Kingdom", "span": [1189, 1200]}},
    {"country": {"value": "Spain", "span": [1203, 1208]}},
    {"country": {"value": "Italy", "span": [1211, 1216]}},
    {"country": {"value": "Netherlands", "span": [1219, 1227]}},
    {"country": {"value": "Sweden", "span": [1230, 1236]}},
    {"country": {"value": "Norway", "span": [1239, 1245]}},
    {"country": {"value": "Switzerland", "span": [1248, 1257]}},
    {"country": {"value": "Denmark", "span": [1260, 1266]}},
    {"country": {"value": "Belgium", "span": [1269, 1277]}},
    {"country": {"value": "Austria", "span": [1280, 1287]}},
    {"country": {"value": "Luxembourg", "span": [1290, 1299]}},
    {"country": {"value": "Portugal", "span": [1302, 1309]}},
    {"country": {"value": "Greece", "span": [1312, 1318]}},
    {"country": {"value": "Romania", "span": [1321, 1328]}},
    {"country": {"value": "Poland", "span": [1331, 1337]}},
    {"country": {"value": "Czech Republic", "span": [1340, 1352]}},
    {"country": {"value": "Slovakia", "span": [1355, 1362]}},
    {"country": {"value": "Hungary", "span": [1365, 1371]}},
    {"country": {"value": "Serbia", "span": [1374, 1380]}},
    {"country": {"value": "Bulgaria", "span": [1383, 1390]}},
    {"country": {"value": "North Macedonia", "span": [1393, 1405]}},
    {"country": {"value": "Cyprus", "span": [1408, 1414]}},
    {"country": {"value": "Latvia", "span": [1417, 1424]}},
    {"country": {"value": "Estonia", "span": [1427, 1433]}},
    {"country": {"value": "Lithuania", "span": [1436, 1443]}},
    {"country": {"value": "Montenegro", "span": [1446, 1454]}},
    {"country": {"value": "Slovenia", "span": [1457, 1464]}},
    {"country": {"value": "Albania", "span": [1467, 1474]}},
    {"country": {"value": "Georgia", "span": [1477, 1483]}},
    {"country": {"value": "Moldova", "span": [1486, 1492]}},
    {"country": {"value": "Ar
