### Text Analysis Result ###
```json
{
  "Crops": [
    {"cropSpecies": {"value": "Biomasse", "span": [85, 92]}},
    {"cropSpecies": {"value": "agrarische Biomasse", "span": [109, 121]}},
    {"cropSpecies": {"value": "forstliche Biomasse", "span": [122, 134]}},
    {"cropSpecies": {"value": "holzbasierte Biomasse", "span": [135, 147]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [148, 160]}},
    {"cropSpecies": {"value": "holz", "span": [162, 166]}},
    {"cropSpecies": {"value": "holz und holzbasierte Produkte", "span": [167, 182]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [197, 209]}},
    {"cropSpecies": {"value": "agrarisches Biomassepotenzial", "span": [210, 224]}},
    {"cropSpecies": {"value": "forstbares Biomassepotenzial", "span": [225, 239]}},
    {"cropSpecies": {"value": "holzbasiertes Biomassepotenzial", "span": [240, 254]}},
    {"cropSpecies": {"value": "holzbasierte Biomassepotenziale", "span": [255, 269]}},
    {"cropSpecies": {"value": "holznebenprodukte", "span": [270, 283]}},
    {"cropSpecies": {"value": "Pelletindustrie", "span": [284, 293]}},
    {"cropSpecies": {"value": "grüner Treibstoff", "span": [294, 303]}},
    {"cropSpecies": {"value": "Bioraffinerien", "span": [304, 313]}},
    {"cropSpecies": {"value": "agrarisches Biomasse", "span": [315, 327]}},
    {"cropSpecies": {"value": "forstliche Biomasse", "span": [328, 340]}},
    {"cropSpecies": {"value": "holzbasierte Biomasse", "span": [341, 353]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [354, 366]}},
    {"cropSpecies": {"value": "holz", "span": [368, 372]}},
    {"cropSpecies": {"value": "holz und holzbasierte Produkte", "span": [373, 388]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [389, 401]}},
    {"cropSpecies": {"value": "agrarisches Biomassepotenzial", "span": [402, 416]}},
    {"cropSpecies": {"value": "forstbares Biomassepotenzial", "span": [417, 431]}},
    {"cropSpecies": {"value": "holzbasiertes Biomassepotenzial", "span": [432, 446]}},
    {"cropSpecies": {"value": "holzbasierte Biomassepotenziale", "span": [447, 461]}},
    {"cropSpecies": {"value": "holznebenprodukte", "span": [462, 475]}},
    {"cropSpecies": {"value": "Pelletindustrie", "span": [476, 485]}},
    {"cropSpecies": {"value": "grüner Treibstoff", "span": [486, 495]}},
    {"cropSpecies": {"value": "Bioraffinerien", "span": [496, 505]}},
    {"cropSpecies": {"value": "agrarisches Biomasse", "span": [507, 519]}},
    {"cropSpecies": {"value": "forstliche Biomasse", "span": [520, 532]}},
    {"cropSpecies": {"value": "holzbasierte Biomasse", "span": [533, 545]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [546, 558]}},
    {"cropSpecies": {"value": "holz", "span": [560, 564]}},
    {"cropSpecies": {"value": "holz und holzbasierte Produkte", "span": [565, 580]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [581, 593]}},
    {"cropSpecies": {"value": "agrarisches Biomassepotenzial", "span": [594, 608]}},
    {"cropSpecies": {"value": "forstbares Biomassepotenzial", "span": [609, 623]}},
    {"cropSpecies": {"value": "holzbasiertes Biomassepotenzial", "span": [624, 638]}},
    {"cropSpecies": {"value": "holzbasierte Biomassepotenziale", "span": [639, 653]}},
    {"cropSpecies": {"value": "holznebenprodukte", "span": [654, 667]}},
    {"cropSpecies": {"value": "Pelletindustrie", "span": [668, 677]}},
    {"cropSpecies": {"value": "grüner Treibstoff", "span": [678, 687]}},
    {"cropSpecies": {"value": "Bioraffinerien", "span": [688, 697]}},
    {"cropSpecies": {"value": "agrarisches Biomasse", "span": [699, 711]}},
    {"cropSpecies": {"value": "forstliche Biomasse", "span": [712, 724]}},
    {"cropSpecies": {"value": "holzbasierte Biomasse", "span": [725, 737]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [738, 750]}},
    {"cropSpecies": {"value": "holz", "span": [752, 756]}},
    {"cropSpecies": {"value": "holz und holzbasierte Produkte", "span": [757, 772]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [773, 785]}},
    {"cropSpecies": {"value": "agrarisches Biomassepotenzial", "span": [786, 800]}},
    {"cropSpecies": {"value": "forstbares Biomassepotenzial", "span": [801, 815]}},
    {"cropSpecies": {"value": "holzbasiertes Biomassepotenzial", "span": [816, 830]}},
    {"cropSpecies": {"value": "
