```json
{
  "Crops": [
    {"cropSpecies": {"value": "Wheat", "span": [73, 78]}},
    {"cropSpecies": {"value": "barley", "span": [105, 111]}},
    {"cropSpecies": {"value": "barley", "span": [199, 205]}},
    {"cropSpecies": {"value": "barley", "span": [224, 230]}},
    {"cropSpecies": {"value": "barley", "span": [367, 373]}},
    {"cropSpecies": {"value": "cereals", "span": [212, 220]}},
    {"cropSpecies": {"value": "barley", "span": [451, 457]}},
    {"cropSpecies": {"value": "barley", "span": [464, 470]}},
    {"cropSpecies": {"value": "barley", "span": [492, 498]}},
    {"cropVariety": {"value": "Hordeum vulgare ssp. vulgare", "span": [112, 135]}},
    {"cropSpecies": {"value": "barley", "span": [544, 550]}},
    {"cropSpecies": {"value": "barley", "span": [581, 587]}},
    {"cropSpecies": {"value": "barley", "span": [626, 632]}},
    {"cropSpecies": {"value": "barley", "span": [660, 666]}},
    {"cropSpecies": {"value": "barley", "span": [691, 697]}},
    {"cropSpecies": {"value": "barley", "span": [734, 740]}},
    {"cropSpecies": {"value": "barley", "span": [757, 763]}},
    {"cropSpecies": {"value": "barley", "span": [814, 820]}},
    {"cropSpecies": {"value": "barley", "span": [851, 857]}},
    {"cropSpecies": {"value": "barley", "span": [894, 900]}},
    {"cropSpecies": {"value": "barley", "span": [928, 934]}},
    {"cropSpecies": {"value": "barley", "span": [962, 968]}},
    {"cropSpecies": {"value": "barley", "span": [1005, 1011]}},
    {"cropSpecies": {"value": "barley", "span": [1044, 1050]}},
    {"cropSpecies": {"value": "barley", "span": [1094, 1100]}},
    {"cropSpecies": {"value": "barley", "span": [1131, 1137]}},
    {"cropSpecies": {"value": "barley", "span": [1165, 1171]}},
    {"cropSpecies": {"value": "barley", "span": [1198, 1204]}},
    {"cropSpecies": {"value": "barley", "span": [1231, 1237]}},
    {"cropSpecies": {"value": "barley", "span": [1265, 1271]}},
    {"cropSpecies": {"value": "barley", "span": [1300, 1306]}},
    {"cropSpecies": {"value": "barley", "span": [1334, 1340]}},
    {"cropSpecies": {"value": "barley", "span": [1368, 1374]}},
    {"cropSpecies": {"value": "barley", "span": [1403, 1409]}},
    {"cropSpecies": {"value": "barley", "span": [1436, 1442]}},
    {"cropSpecies": {"value": "barley", "span": [1470, 1476]}},
    {"cropSpecies": {"value": "barley", "span": [1504, 1510]}},
    {"cropSpecies": {"value": "barley", "span": [1537, 1543]}},
    {"cropSpecies": {"value": "barley", "span": [1570, 1576]}},
    {"cropSpecies": {"value": "barley", "span": [1604, 1610]}},
    {"cropSpecies": {"value": "barley", "span": [1638, 1644]}},
    {"cropSpecies": {"value": "barley", "span": [1672, 1678]}},
    {"cropSpecies": {"value": "barley", "span": [1706, 1712]}},
    {"cropSpecies": {"value": "barley", "span": [1740, 1746]}},
    {"cropSpecies": {"value": "barley", "span": [1774, 1780]}},
    {"cropSpecies": {"value": "barley", "span": [1808, 1814]}},
    {"cropSpecies": {"value": "barley", "span": [1842, 1848]}},
    {"cropSpecies": {"value": "barley", "span": [1876, 1882]}},
    {"cropSpecies": {"value": "barley", "span": [1910, 1916]}},
    {"cropSpecies": {"value": "barley", "span": [1944, 1950]}},
    {"cropSpecies": {"value": "barley", "span": [1978, 1984]}},
    {"cropSpecies": {"value": "barley", "span": [2012, 2018]}},
    {"cropSpecies": {"value": "barley", "span": [2046, 2052]}},
    {"cropSpecies": {"value": "barley", "span": [2080, 2086]}},
    {"cropSpecies": {"value": "barley", "span": [2114, 2120]}},
    {"cropSpecies": {"value": "barley", "span": [2148, 2154]}},
    {"cropSpecies": {"value": "barley", "span": [2182, 2188]}},
    {"cropSpecies": {"value": "barley", "span": [2216, 2222]}},
    {"cropSpecies": {"value": "barley", "span": [2250, 2256]}},
    {"cropSpecies": {"value": "barley", "span": [2284, 2290]}},
    {"cropSpecies": {"value": "barley", "span": [2318, 2324]}},
    {"cropSpecies": {"value": "barley", "span": [2352, 2358]}},
    {"cropSpecies": {"value": "barley", "span": [2386, 2392]}},
    {"cropSpecies": {"value": "bar
