```json
{
  "Crops": [
    {"cropSpecies": {"value": "wheat", "span": [346, 351]}},
    {"cropSpecies": {"value": "barley", "span": [355, 361]}},
    {"cropSpecies": {"value": "sugar beet", "span": [365, 375]}},
    {"cropSpecies": {"value": "barley", "span": [743, 749]}},
    {"cropSpecies": {"value": "sugar beet", "span": [753, 763]}},
    {"cropSpecies": {"value": "barley", "span": [1037, 1043]}},
    {"cropSpecies": {"value": "beet", "span": [1047, 1051]}
  ],
  "Soil": [
    {"soilOrganicCarbon": {"value": "humus", "span": [281, 286]}},
    {"soilFertility": {"value": "soil fertility", "span": [629, 642]}},
    {"soilAvailableNitrogen": {"value": "mineral nutrients", "span": [270, 286]}},
    {"soilAvailableNitrogen": {"value": "nutrient availability", "span": [894, 912]}},
    {"soilAvailableNitrogen": {"value": "N채hrstoffgehalt", "span": [1171, 1185]}},
    {"soilTexture": {"value": "Boden", "span": [13, 18]}},
    {"soilTexture": {"value": "Boden", "span": [1239, 1244]}},
    {"soilReferenceGroup": {"value": "soil management", "span": [388, 402]}},
    {"soilBulkDensity": {"value": "bulk soil", "span": [771, 780]}},
    {"soilPH": {"value": "soil", "span": [1155, 1160]}},
    {"soilOrganicCarbon": {"value": "organic carbon", "span": [1069, 1084]}},
    {"soilAvailableNitrogen": {"value": "nitrogen", "span": [1077, 1085]}},
    {"soilOrganicCarbon": {"value": "humus development", "span": [246, 261]}},
    {"soilOrganicCarbon": {"value": "organic amendments", "span": [1246, 1263]}},
    {"soilAvailableNitrogen": {"value": "Stickstoffd체nger", "span": [1167, 1183]}},
    {"soilAvailableNitrogen": {"value": "nitrogen fertilizers", "span": [1255, 1272]}},
    {"soilOrganicCarbon": {"value": "organic amendments", "span": [1255, 1272]}},
    {"soilAvailableNitrogen": {"value": "mineral fertilization", "span": [815, 833]}},
    {"soilAvailableNitrogen": {"value": "mineral fertilizer", "span": [259, 274]}},
    {"soilOrganicCarbon": {"value": "manure", "span": [835, 840]}},
    {"soilOrganicCarbon": {"value": "horse manure", "span": [420, 431]}},
    {"soilOrganicCarbon": {"value": "manure application", "span": [956, 971]}},
    {"soilOrganicCarbon": {"value": "crop residues", "span": [443, 455]}},
    {"soilOrganicCarbon": {"value": "catch crop", "span": [461, 470]}},
    {"soilOrganicCarbon": {"value": "farmyard manure", "span": [408, 423]}},
    {"soilOrganicCarbon": {"value": "Tiermist", "span": [1177, 1185]}},
    {"soilOrganicCarbon": {"value": "Fruchtfolge", "span": [1187, 1198]}},
    {"soilOrganicCarbon": {"value": "Landwirtschaft", "span": [1200, 1214]}},
    {"soilOrganicCarbon": {"value": "Nutzpflanzenproduktion", "span": [1224, 1243]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1245, 1250]}},
    {"soilOrganicCarbon": {"value": "opendata", "span": [1252, 1259]}},
    {"soilOrganicCarbon": {"value": "inspireidentifiziert", "span": [1261, 1278]}},
    {"soilOrganicCarbon": {"value": "Langzeitversuch", "span": [1270, 1283]}},
    {"soilOrganicCarbon": {"value": "Nutrient availability", "span": [894, 912]}},
    {"soilOrganicCarbon": {"value": "soil fertility", "span": [629, 642]}},
    {"soilOrganicCarbon": {"value": "humus development", "span": [246, 261]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [13, 18]}},
    {"soilOrganicCarbon": {"value": "soil management", "span": [388, 402]}},
    {"soilOrganicCarbon": {"value": "bulk soil", "span": [771, 780]}},
    {"soilOrganicCarbon": {"value": "soil", "span": [1155, 1160]}},
    {"soilOrganicCarbon": {"value": "organic carbon", "span": [1069, 1084]}},
    {"soilOrganicCarbon": {"value": "nitrogen", "span": [1077, 1085]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [281, 286]}},
    {"soilOrganicCarbon": {"value": "mineral nutrients", "span": [270, 286]}},
    {"soilOrganicCarbon": {"value": "mineral fertilizer", "span": [259, 274]}},
    {"soilOrganicCarbon": {"value": "manure", "span": [835, 840]}},
    {"soilOrganicCarbon": {"value": "horse manure", "span": [420, 431]}},
    {"soilOrganicCarbon": {"value": "manure application", "span": [956, 971]}},
    {"soilOrganicCarbon": {"value": "crop residues", "span": [443, 455]}},
    {"soilOrganicCarbon": {"value": "catch crop", "span": [461, 
