```json
{
  "Crops": [],
  "Soil": [
    {"soilTexture": { "value": "Bodenart", "span": [416, 423] }},
    {"soilReferenceGroup": { "value": "Bodentyp", "span": [357, 364] }},
    {"soilBulkDensity": { "value": "Trockenrohdichte (TRD)", "span": [447, 462] }},
    {"soilOrganicCarbon": { "value": "organischer Kohlenstoffgehalt (Corg)", "span": [522, 551] }}
  ],
  "Location": [
    {"country": { "value": "deutschen", "span": [84, 91] }},
    {"region": { "value": "Bundesländern", "span": [145, 154] }},
    {"region": { "value": "Bundesland", "span": [235, 243] }},
    {"region": { "value": "Bundesland", "span": [264, 272] }},
    {"region": { "value": "Bundesland", "span": [315, 323] }},
    {"region": { "value": "Bundesland", "span": [337, 345] }},
    {"region": { "value": "Bundesland", "span": [359, 367] }},
    {"region": { "value": "Bundesland", "span": [381, 389] }},
    {"region": { "value": "Bundesland", "span": [403, 411] }},
    {"region": { "value": "Bundesland", "span": [425, 433] }},
    {"region": { "value": "Bundesland", "span": [447, 455] }},
    {"region": { "value": "Bundesland", "span": [469, 477] }},
    {"region": { "value": "Bundesland", "span": [491, 499] }},
    {"region": { "value": "Bundesland", "span": [513, 521] }},
    {"region": { "value": "Bundesland", "span": [535, 543] }},
    {"region": { "value": "Bundesland", "span": [557, 565] }},
    {"region": { "value": "Bundesland", "span": [579, 587] }},
    {"region": { "value": "Bundesland", "span": [601, 609] }},
    {"region": { "value": "Bundesland", "span": [623, 631] }},
    {"region": { "value": "Bundesland", "span": [645, 653] }},
    {"region": { "value": "Bundesland", "span": [667, 675] }},
    {"region": { "value": "Bundesland", "span": [689, 697] }},
    {"region": { "value": "Bundesland", "span": [711, 719] }},
    {"region": { "value": "Bundesland", "span": [733, 741] }},
    {"region": { "value": "Bundesland", "span": [755, 763] }},
    {"region": { "value": "Bundesland", "span": [777, 785] }},
    {"region": { "value": "Bundesland", "span": [799, 807] }},
    {"region": { "value": "Bundesland", "span": [821, 829] }},
    {"region": { "value": "Bundesland", "span": [843, 851] }},
    {"region": { "value": "Bundesland", "span": [865, 873] }},
    {"region": { "value": "Bundesland", "span": [887, 895] }},
    {"region": { "value": "Bundesland", "span": [909, 917] }},
    {"region": { "value": "Bundesland", "span": [931, 939] }},
    {"region": { "value": "Bundesland", "span": [953, 961] }},
    {"region": { "value": "Bundesland", "span": [975, 983] }},
    {"region": { "value": "Bundesland", "span": [997, 1005] }},
    {"region": { "value": "Bundesland", "span": [1019, 1027] }},
    {"region": { "value": "Bundesland", "span": [1041, 1049] }},
    {"region": { "value": "Bundesland", "span": [1063, 1071] }},
    {"region": { "value": "Bundesland", "span": [1085, 1093] }},
    {"region": { "value": "Bundesland", "span": [1107, 1115] }},
    {"region": { "value": "Bundesland", "span": [1129, 1137] }},
    {"region": { "value": "Bundesland", "span": [1151, 1159] }},
    {"region": { "value": "Bundesland", "span": [1173, 1181] }},
    {"region": { "value": "Bundesland", "span": [1195, 1203] }},
    {"region": { "value": "Bundesland", "span": [1217, 1225] }},
    {"region": { "value": "Bundesland", "span": [1239, 1247] }},
    {"region": { "value
