```json
{
  "Crops": [],
  "Soil": [],
  "Location": [
    {"country": {"value": "Germany", "span": [451, 458]}},
    {"region": {"value": "Hürth", "span": [459, 463]}},
    {"region": {"value": "Rome", "span": [348, 352]}},
    {"region": {"value": "nova-Institut", "span": [432, 442]}},
    {"region": {"value": "International Institute for Applied Systems Analyses", "span": [379, 416]}},
    {"region": {"value": "World Trade Organization", "span": [428, 444]}},
    {"region": {"value": "FAO", "span": [327, 331]}}
  ],
  "Time Statement": [
    {"startTime": {"value": "2020", "span": [332, 336]}},
    {"startTime": {"value": "2023", "span": [417, 421]}},
    {"startTime": {"value": "2023", "span": [474, 478]}},
    {"startTime": {"value": "2024", "span": [487, 491]}},
    {"startTime": {"value": "2024", "span": [502, 506]}},
    {"startTime": {"value": "November 2023", "span": [353, 368]}},
    {"startTime": {"value": "August 2024", "span": [445, 460]}},
    {"startTime": {"value": "2023", "span": [520, 524]}},
    {"startTime": {"value": "2024", "span": [525, 529]}},
    {"startTime": {"value": "2023", "span": [530, 534]}},
    {"startTime": {"value": "2024", "span": [535, 539]}},
    {"startTime": {"value": "2023", "span": [540, 544]}},
    {"startTime": {"value": "2024", "span": [545, 549]}},
    {"startTime": {"value": "2023", "span": [550, 554]}},
    {"startTime": {"value": "2024", "span": [555, 559]}},
    {"startTime": {"value": "2023", "span": [560, 564]}},
    {"startTime": {"value": "2024", "span": [565, 569]}},
    {"startTime": {"value": "2023", "span": [570, 574]}},
    {"startTime": {"value": "2024", "span": [575, 579]}},
    {"startTime": {"value": "2023", "span": [580, 584]}},
    {"startTime": {"value": "2024", "span": [585, 589]}},
    {"startTime": {"value": "2023", "span": [590, 594]}},
    {"startTime": {"value": "2024", "span": [595, 599]}},
    {"startTime": {"value": "2023", "span": [600, 604]}},
    {"startTime": {"value": "2024", "span": [605, 609]}},
    {"startTime": {"value": "2023", "span": [610, 614]}},
    {"startTime": {"value": "2024", "span": [615, 619]}},
    {"startTime": {"value": "2023", "span": [620, 624]}},
    {"startTime": {"value": "2024", "span": [625, 629]}},
    {"startTime": {"value": "2023", "span": [630, 634]}},
    {"startTime": {"value": "2024", "span": [635, 639]}},
    {"startTime": {"value": "2023", "span": [640, 644]}},
    {"startTime": {"value": "2024", "span": [645, 649]}},
    {"startTime": {"value": "2023", "span": [650, 654]}},
    {"startTime": {"value": "2024", "span": [655, 659]}},
    {"startTime": {"value": "2023", "span": [660, 664]}},
    {"startTime": {"value": "2024", "span": [665, 669]}},
    {"startTime": {"value": "2023", "span": [670, 674]}},
    {"startTime": {"value": "2024", "span": [675, 679]}},
    {"startTime": {"value": "2023", "span": [680, 684]}},
    {"startTime": {"value": "2024", "span": [685, 689]}},
    {"startTime": {"value": "2023", "span": [690, 694]}},
    {"startTime": {"value": "2024", "span": [695, 699]}},
    {"startTime": {"value": "2023", "span": [700, 704]}},
    {"startTime": {"value": "2024", "span": [705, 709]}},
    {"startTime": {"value": "2023", "span": [710, 714]}},
    {"startTime": {"value": "2024", "span": [715, 719]}},
    {"startTime": {"value": "2023", "span
