### Text Analysis Results ###

```json
{
  "Crops": [
    {"cropSpecies": {"value": "soft-skinned fruits", "span": [128, 146]}},
    {"cropSpecies": {"value": "grape", "span": [245, 249]}},
    {"cropSpecies": {"value": "apple", "span": [343, 346]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [381, 393]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [430, 436]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [537, 549]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [636, 642]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [742, 754]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [841, 847]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [944, 956]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1042, 1048]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1149, 1155]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [1257, 1269]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1356, 1362]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [1457, 1469]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1562, 1568]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1669, 1675]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [1780, 1792]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1882, 1888]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [1985, 1997]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2090, 2096]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2198, 2204]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [2307, 2319]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2417, 2423]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [2525, 2537]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2634, 2640]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2738, 2744]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [2852, 2864]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2958, 2964]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [3066, 3078]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3179, 3185]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3293, 3299]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [3405, 3417]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3519, 3525]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [3631, 3643]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3746, 3752]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3855, 3861]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [3966, 3978]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4078, 4084]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [4189, 4201]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4304, 4310]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4425, 4431]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [4538, 4550]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4655, 4661]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [4772, 4784]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4889, 4895]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [5003, 5015]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5118, 5124]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5237, 5243]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [5350, 5362]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5464, 5470]}},
    {"cropSpecies": {"value": "D. suzukii host plants", "span": [5580, 5592]}},
    {"cropSpecies": {"value": "D. suzukii", "
