```json
{
  "Crops": [],
  "Soil": [
    {"Soil": { "value": "Bodenleitprofile", "span": [25, 36] }},
    {"Soil": { "value": "Boden", "span": [151, 154] }},
    {"Soil": { "value": "Boden", "span": [226, 229] }},
    {"Soil": { "value": "Boden", "span": [265, 268] }},
    {"Soil": { "value": "Boden", "span": [301, 304] }},
    {"Soil": { "value": "Boden", "span": [341, 344] }},
    {"Soil": { "value": "Boden", "span": [379, 382] }},
    {"Soil": { "value": "Boden", "span": [426, 429] }},
    {"Soil": { "value": "Boden", "span": [462, 465] }},
    {"Soil": { "value": "Boden", "span": [520, 523] }},
    {"Soil": { "value": "Boden", "span": [556, 559] }},
    {"Soil": { "value": "Boden", "span": [592, 595] }},
    {"Soil": { "value": "Boden", "span": [626, 629] }},
    {"Soil": { "value": "Boden", "span": [661, 664] }},
    {"Soil": { "value": "Boden", "span": [695, 698] }},
    {"Soil": { "value": "Boden", "span": [729, 732] }},
    {"Soil": { "value": "Boden", "span": [764, 767] }},
    {"Soil": { "value": "Boden", "span": [798, 801] }},
    {"Soil": { "value": "Boden", "span": [832, 835] }},
    {"Soil": { "value": "Boden", "span": [865, 868] }},
    {"Soil": { "value": "Boden", "span": [899, 902] }},
    {"Soil": { "value": "Boden", "span": [932, 935] }},
    {"Soil": { "value": "Boden", "span": [965, 968] }},
    {"Soil": { "value": "Boden", "span": [998, 1001] }},
    {"Soil": { "value": "Boden", "span": [1029, 1032] }},
    {"Soil": { "value": "Boden", "span": [1061, 1064] }},
    {"Soil": { "value": "Boden", "span": [1093, 1096] }},
    {"Soil": { "value": "Boden", "span": [1125, 1128] }},
    {"Soil": { "value": "Boden", "span": [1156, 1159] }},
    {"Soil": { "value": "Boden", "span": [1187, 1190] }},
    {"Soil": { "value": "Boden", "span": [1218, 1221] }},
    {"Soil": { "value": "Boden", "span": [1247, 1250] }},
    {"Soil": { "value": "Boden", "span": [1276, 1279] }},
    {"Soil": { "value": "Boden", "span": [1304, 1307] }},
    {"Soil": { "value": "Boden", "span": [1331, 1334] }},
    {"Soil": { "value": "Boden", "span": [1358, 1361] }},
    {"Soil": { "value": "Boden", "span": [1385, 1388] }},
    {"Soil": { "value": "Boden", "span": [1412, 1415] }},
    {"Soil": { "value": "Boden", "span": [1439, 1442] }},
    {"Soil": { "value": "Boden", "span": [1466, 1469] }},
    {"Soil": { "value": "Boden", "span": [1493, 1496] }},
    {"Soil": { "value": "Boden", "span": [1519, 1522] }},
    {"Soil": { "value": "Boden", "span": [1543, 1546] }},
    {"Soil": { "value": "Boden", "span": [1567, 1570] }},
    {"Soil": { "value": "Boden", "span": [1591, 1594] }},
    {"Soil": { "value": "Boden", "span": [1615, 1618] }},
    {"Soil": { "value": "Boden", "span": [1639, 1642] }},
    {"Soil": { "value": "Boden", "span": [1663, 1666] }},
    {"Soil": { "value": "Boden", "span": [1687, 1700] }},
    {"Soil": { "value": "Boden", "span": [1713, 1716] }},
    {"Soil": { "value": "Boden", "span": [1739, 1742] }},
    {"Soil": { "value": "Boden", "span": [1762, 1765] }},
    {"Soil": { "value": "Boden", "span": [1786,
