### JSON Structure Filled with Entities from the Input Text ###

```json
{
  "Crops": [
    {"cropSpecies": {"value": "Biomasse", "span": [173, 182]}},
    {"cropSpecies": {"value": "Holz", "span": [342, 346]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [346, 359]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [409, 421]}},
    {"cropSpecies": {"value": "chemische Derivate", "span": [423, 435]}},
    {"cropSpecies": {"value": "Biomassepotentiale", "span": [456, 469]}},
    {"cropSpecies": {"value": "Schnittholz", "span": [490, 499]}},
    {"cropSpecies": {"value": "Textilfaser", "span": [507, 517]}},
    {"cropSpecies": {"value": "Pelletindustrie", "span": [571, 583]}},
    {"cropSpecies": {"value": "grüner Treibstoff", "span": [584, 594]}},
    {"cropSpecies": {"value": "Bioraffinerien", "span": [595, 605]}},
    {"cropSpecies": {"value": "Plattenindustrie", "span": [607, 618]}},
    {"cropSpecies": {"value": "Holznebenprodukte", "span": [620, 632]}},
    {"cropSpecies": {"value": "Fasern", "span": [633, 638]}},
    {"cropSpecies": {"value": "Holz", "span": [649, 652]}},
    {"cropSpecies": {"value": "holz", "span": [654, 657]}},
    {"cropSpecies": {"value": "holz", "span": [662, 665]}},
    {"cropSpecies": {"value": "Holz", "span": [676, 679]}},
    {"cropSpecies": {"value": "Holz", "span": [683, 686]}},
    {"cropSpecies": {"value": "Holz", "span": [690, 693]}},
    {"cropSpecies": {"value": "Holz", "span": [699, 702]}},
    {"cropSpecies": {"value": "Holz", "span": [706, 709]}},
    {"cropSpecies": {"value": "Holz", "span": [714, 717]}},
    {"cropSpecies": {"value": "Holz", "span": [722, 725]}},
    {"cropSpecies": {"value": "Holz", "span": [729, 732]}},
    {"cropSpecies": {"value": "Holz", "span": [736, 739]}},
    {"cropSpecies": {"value": "Holz", "span": [742, 745]}},
    {"cropSpecies": {"value": "Holz", "span": [748, 751]}},
    {"cropSpecies": {"value": "Holz", "span": [754, 757]}},
    {"cropSpecies": {"value": "Holz", "span": [761, 764]}},
    {"cropSpecies": {"value": "Holz", "span": [767, 770]}},
    {"cropSpecies": {"value": "Holz", "span": [773, 776]}},
    {"cropSpecies": {"value": "Holz", "span": [779, 782]}},
    {"cropSpecies": {"value": "Holz", "span": [785, 788]}},
    {"cropSpecies": {"value": "Holz", "span": [791, 794]}},
    {"cropSpecies": {"value": "Holz", "span": [797, 800]}},
    {"cropSpecies": {"value": "Holz", "span": [803, 806]}},
    {"cropSpecies": {"value": "Holz", "span": [809, 812]}},
    {"cropSpecies": {"value": "Holz", "span": [815, 818]}},
    {"cropSpecies": {"value": "Holz", "span": [821, 824]}},
    {"cropSpecies": {"value": "Holz", "span": [827, 830]}},
    {"cropSpecies": {"value": "Holz", "span": [833, 836]}},
    {"cropSpecies": {"value": "Holz", "span": [839, 842]}},
    {"cropSpecies": {"value": "Holz", "span": [845, 848]}},
    {"cropSpecies": {"value": "Holz", "span": [851, 854]}},
    {"cropSpecies": {"value": "Holz", "span": [857, 860]}},
    {"cropSpecies": {"value": "Holz", "span": [863, 866]}},
    {"cropSpecies": {"value": "Holz", "span": [869, 872]}},
    {"cropSpecies": {"value": "Holz", "span": [875, 878]}},
    {"cropSpecies": {"value": "Holz", "span": [881, 884]}},
    {"cropSpecies": {"value": "Holz", "span": [887, 890]}},
    {"cropSpecies": {"value": "Holz", "span": [893, 896]}},
    {"cropSpecies": {"value": "Holz", "span": [899, 902]}},
    {"cropSpecies": {"value": "Holz", "span": [905, 908]}},
    {"cropSpecies": {"value": "Holz", "span": [911, 914]}},
    {"cropSpecies": {"value": "Holz", "span": [917, 920]}},
    {"cropSpecies": {"value": "Holz", "span": [923, 926]}},
    {"cropSpecies": {"value": "Holz", "span": [929, 932]}},
    {"cropSpecies": {"value": "Holz", "span": [935, 938]}},
    {"cropSpecies": {"value": "Holz", "span": [941, 944]}},
    {"cropSpecies": {"value": "Holz", "span": [947, 950]}},
    {"cropSpecies": {"value": "Holz", "span": [953, 956]}},
    {"cropSpecies": {"value": "Holz", "span": [959, 962]}},
    {"cropSpecies": {"value": "Holz", "span": [965, 968]}},
    {"cropSpecies": {"value": "Holz", "span": [971, 974]}},
    {"cropSpecies": {"value":
