```json
{
  "Crops": [],
  "Soil": [
    {"soilTexture": {"value": "Bodenart", "span": [1564, 1572]}},
    {"soilBulkDensity": {"value": "Trockenrohdichte (TRD)", "span": [1605, 1625]}},
    {"soilOrganicCarbon": {"value": "organischer Kohlenstoffgehalt (Corg)", "span": [1739, 1765]}},
    {"soilPH": {"value": "Kalkung", "span": [1459, 1466]}},
    {"soilPH": {"value": "Entkalkungstiefe", "span": [1755, 1670]}},
    {"soilAvailableNitrogen": {"value": "Nährstoffansprache", "span": [1471, 1486]}},
    {"soilDepth": {"value": "Horizontangaben", "span": [1585, 1599]}},
    {"soilReferenceGroup": {"value": "Bodentyp", "span": [1445, 1453]}},
    {"soilReferenceGroup": {"value": "Standorts- und Bodenkartierung", "span": [549, 574]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [281, 294]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [1560, 1573]}},
    {"soilReferenceGroup": {"value": "Bodenprofil", "span": [240, 250]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [207, 212]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [537, 542]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [548, 553]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [554, 559]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [560, 565]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [566, 571]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [572, 577]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [578, 583]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [584, 589]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [590, 595]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [596, 601]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [602, 607]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [608, 613]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [614, 619]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [620, 625]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [626, 631]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [632, 637]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [638, 643]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [644, 649]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [650, 655]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [656, 661]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [662, 667]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [668, 673]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [674, 679]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [680, 685]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [686, 691]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [692, 697]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [698, 703]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [704, 709]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [710, 715]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [716, 721]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [722, 727]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [728, 733]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [734, 739]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [740, 745]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [746, 751]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [752, 757]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [758, 763]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [764, 769]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [770, 775]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [776, 781]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [782, 787]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [788, 793]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [794, 799]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [800, 805]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [806, 811]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [812, 817]}},
    {"soilReferenceGroup": {"value
