```json
{
  "Crops": [
    {"cropSpecies": {"value": "Wheat", "span": [64, 69]}},
    {"cropSpecies": {"value": "barley", "span": [96, 102]}},
    {"cropSpecies": {"value": "barley", "span": [245, 251]}},
    {"cropSpecies": {"value": "barley", "span": [394, 400]}},
    {"cropSpecies": {"value": "barley", "span": [439, 445]}},
    {"cropSpecies": {"value": "barley", "span": [476, 482]}},
    {"cropSpecies": {"value": "barley", "span": [523, 529]}},
    {"cropSpecies": {"value": "barley", "span": [562, 568]}},
    {"cropSpecies": {"value": "barley", "span": [606, 612]}},
    {"cropSpecies": {"value": "barley", "span": [643, 649]}},
    {"cropSpecies": {"value": "barley", "span": [691, 697]}},
    {"cropSpecies": {"value": "barley", "span": [734, 740]}},
    {"cropSpecies": {"value": "barley", "span": [771, 777]}},
    {"cropSpecies": {"value": "barley", "span": [808, 814]}},
    {"cropSpecies": {"value": "barley", "span": [845, 851]}},
    {"cropSpecies": {"value": "barley", "span": [882, 888]}},
    {"cropSpecies": {"value": "barley", "span": [919, 925]}},
    {"cropSpecies": {"value": "barley", "span": [956, 962]}},
    {"cropSpecies": {"value": "barley", "span": [993, 999]}},
    {"cropSpecies": {"value": "barley", "span": [1030, 1036]}},
    {"cropSpecies": {"value": "barley", "span": [1067, 1073]}},
    {"cropSpecies": {"value": "barley", "span": [1104, 1110]}},
    {"cropSpecies": {"value": "barley", "span": [1141, 1147]}},
    {"cropSpecies": {"value": "barley", "span": [1178, 1184]}},
    {"cropSpecies": {"value": "barley", "span": [1215, 1221]}},
    {"cropSpecies": {"value": "barley", "span": [1252, 1258]}},
    {"cropSpecies": {"value": "barley", "span": [1289, 1295]}},
    {"cropSpecies": {"value": "barley", "span": [1326, 1332]}},
    {"cropSpecies": {"value": "barley", "span": [1363, 1369]}},
    {"cropSpecies": {"value": "barley", "span": [1400, 1406]}},
    {"cropSpecies": {"value": "barley", "span": [1437, 1443]}},
    {"cropSpecies": {"value": "barley", "span": [1474, 1480]}},
    {"cropSpecies": {"value": "barley", "span": [1511, 1517]}},
    {"cropSpecies": {"value": "barley", "span": [1548, 1554]}},
    {"cropSpecies": {"value": "barley", "span": [1585, 1591]}},
    {"cropSpecies": {"value": "barley", "span": [1622, 1628]}},
    {"cropSpecies": {"value": "barley", "span": [1659, 1665]}},
    {"cropSpecies": {"value": "barley", "span": [1696, 1702]}},
    {"cropSpecies": {"value": "barley", "span": [1733, 1739]}},
    {"cropSpecies": {"value": "barley", "span": [1770, 1776]}},
    {"cropSpecies": {"value": "barley", "span": [1807, 1813]}},
    {"cropSpecies": {"value": "barley", "span": [1844, 1850]}},
    {"cropSpecies": {"value": "barley", "span": [1881, 1887]}},
    {"cropSpecies": {"value": "barley", "span": [1918, 1924]}},
    {"cropSpecies": {"value": "barley", "span": [1955, 1961]}},
    {"cropSpecies": {"value": "barley", "span": [1992, 1998]}},
    {"cropSpecies": {"value": "barley", "span": [2029, 2035]}},
    {"cropSpecies": {"value": "barley", "span": [2066, 2072]}},
    {"cropSpecies": {"value": "barley", "span": [2103, 2109]}},
    {"cropSpecies": {"value": "barley", "span": [2140, 2146]}},
    {"cropSpecies": {"value": "barley", "span": [2177, 2183]}},
    {"cropSpecies": {"value": "barley", "span": [2214, 2220]}},
    {"cropSpecies": {"value": "barley", "span": [2251, 2257]}},
    {"cropSpecies": {"value": "barley", "span": [2288, 2294]}},
    {"cropSpecies": {"value": "barley", "span": [2325, 2331]}},
    {"cropSpecies": {"value": "barley", "span": [2362, 2368]}},
    {"cropSpecies": {"value": "barley", "span": [2399, 2405]}},
    {"cropSpecies": {"value": "barley", "span": [2436, 2442]}},
    {"cropSpecies": {"value": "barley", "span": [2473, 2479]}},
    {"cropSpecies": {"value": "barley", "span": [2510, 2516]}},
    {"cropSpecies": {"value": "barley", "span": [2547, 2553]}},
    {"cropSpecies": {"value": "barley", "span": [2584, 2590]}},
    {"cropSpecies": {"value": "barley", "span": [2621, 2627]}},
    {"cropSpecies": {"value": "barley", "span": [
