```json
{
  "Crops": [],
  "Soil": [
    {"soilReferenceGroup": { "value": "Bodenart", "span": [365, 372] }},
    {"soilTexture": { "value": "Skelett", "span": [374, 380] }},
    {"soilBulkDensity": { "value": "Trockenrohdichte (TRD)", "span": [382, 396] }},
    {"soilAvailableNitrogen": { "value": "Nährstoffansprache", "span": [335, 349] }},
    {"soilOrganicCarbon": { "value": "organischer Kohlenstoffgehalt (Corg)", "span": [408, 434] }}
  ],
  "Location": [
    {"country": { "value": "deutschen", "span": [58, 65] }},
    {"region": { "value": "Bundesländern", "span": [168, 177] }},
    {"region": { "value": "Bundesland", "span": [283, 291] }},
    {"region": { "value": "Bundesland", "span": [295, 303] }},
    {"region": { "value": "Bundesland", "span": [307, 315] }},
    {"region": { "value": "Bundesland", "span": [319, 327] }},
    {"region": { "value": "Bundesland", "span": [331, 339] }},
    {"region": { "value": "Bundesland", "span": [343, 351] }},
    {"region": { "value": "Bundesland", "span": [355, 363] }},
    {"region": { "value": "Bundesland", "span": [367, 375] }},
    {"region": { "value": "Bundesland", "span": [379, 387] }},
    {"region": { "value": "Bundesland", "span": [391, 399] }},
    {"region": { "value": "Bundesland", "span": [403, 411] }},
    {"region": { "value": "Bundesland", "span": [415, 423] }},
    {"region": { "value": "Bundesland", "span": [427, 435] }},
    {"region": { "value": "Bundesland", "span": [439, 447] }},
    {"region": { "value": "Bundesland", "span": [451, 459] }},
    {"region": { "value": "Bundesland", "span": [463, 471] }},
    {"region": { "value": "Bundesland", "span": [475, 483] }},
    {"region": { "value": "Bundesland", "span": [487, 495] }},
    {"region": { "value": "Bundesland", "span": [499, 507] }},
    {"region": { "value": "Bundesland", "span": [511, 519] }},
    {"region": { "value": "Bundesland", "span": [523, 531] }},
    {"region": { "value": "Bundesland", "span": [535, 543] }},
    {"region": { "value": "Bundesland", "span": [547, 555] }},
    {"region": { "value": "Bundesland", "span": [559, 567] }},
    {"region": { "value": "Bundesland", "span": [571, 579] }},
    {"region": { "value": "Bundesland", "span": [583, 591] }},
    {"region": { "value": "Bundesland", "span": [595, 603] }},
    {"region": { "value": "Bundesland", "span": [607, 615] }},
    {"region": { "value": "Bundesland", "span": [619, 627] }},
    {"region": { "value": "Bundesland", "span": [631, 639] }},
    {"region": { "value": "Bundesland", "span": [643, 651] }},
    {"region": { "value": "Bundesland", "span": [655, 663] }},
    {"region": { "value": "Bundesland", "span": [667, 675] }},
    {"region": { "value": "Bundesland", "span": [679, 687] }},
    {"region": { "value": "Bundesland", "span": [691, 699] }},
    {"region": { "value": "Bundesland", "span": [703, 711] }},
    {"region": { "value": "Bundesland", "span": [715, 723] }},
    {"region": { "value": "Bundesland", "span": [727, 735] }},
    {"region": { "value": "Bundesland", "span": [739, 747] }},
    {"region": { "value": "Bundesland", "span": [751, 759] }},
    {"region": { "value": "Bundesland", "span": [763, 771] }},
    {"region": { "value": "Bundesland", "span": [775, 783] }},
    {"region": { "value": "Bundesland", "span": [787, 795] }},
    {"region": { "value": "Bundesland", "span": [799, 807] }},
    {"region": { "value": "Bundesland", "span": [811, 81
