### Output JSON ###
```json
{
  "Crops": [
    {"cropSpecies": {"value": "Wheat dwarf virus", "span": [28, 44]}},
    {"cropSpecies": {"value": "barley", "span": [96, 102]}},
    {"cropSpecies": {"value": "barley", "span": [106, 112]}},
    {"cropSpecies": {"value": "barley", "span": [141, 147]}},
    {"cropSpecies": {"value": "barley", "span": [151, 157]}},
    {"cropSpecies": {"value": "barley", "span": [164, 170]}},
    {"cropSpecies": {"value": "barley", "span": [181, 187]}},
    {"cropSpecies": {"value": "barley", "span": [191, 197]}},
    {"cropSpecies": {"value": "barley", "span": [200, 206]}},
    {"cropSpecies": {"value": "Hordeum vulgare ssp. vulgare", "span": [210, 231]}},
    {"cropSpecies": {"value": "barley", "span": [238, 244]}},
    {"cropSpecies": {"value": "barley", "span": [244, 250]}},
    {"cropSpecies": {"value": "barley", "span": [256, 262]}},
    {"cropSpecies": {"value": "barley", "span": [266, 272]}},
    {"cropSpecies": {"value": "barley", "span": [276, 282]}},
    {"cropSpecies": {"value": "barley", "span": [287, 293]}},
    {"cropSpecies": {"value": "barley", "span": [297, 303]}},
    {"cropSpecies": {"value": "barley", "span": [307, 313]}},
    {"cropSpecies": {"value": "barley", "span": [316, 322]}},
    {"cropSpecies": {"value": "barley", "span": [326, 332]}},
    {"cropSpecies": {"value": "barley", "span": [337, 343]}},
    {"cropSpecies": {"value": "barley", "span": [347, 353]}},
    {"cropSpecies": {"value": "barley", "span": [358, 364]}},
    {"cropSpecies": {"value": "barley", "span": [369, 375]}},
    {"cropSpecies": {"value": "barley", "span": [379, 385]}},
    {"cropSpecies": {"value": "barley", "span": [390, 396]}},
    {"cropSpecies": {"value": "barley", "span": [400, 406]}},
    {"cropSpecies": {"value": "barley", "span": [411, 417]}},
    {"cropSpecies": {"value": "barley", "span": [421, 427]}},
    {"cropSpecies": {"value": "barley", "span": [432, 438]}},
    {"cropSpecies": {"value": "barley", "span": [443, 449]}},
    {"cropSpecies": {"value": "barley", "span": [453, 459]}},
    {"cropSpecies": {"value": "barley", "span": [464, 470]}},
    {"cropSpecies": {"value": "barley", "span": [474, 480]}},
    {"cropSpecies": {"value": "barley", "span": [485, 491]}},
    {"cropSpecies": {"value": "barley", "span": [496, 502]}},
    {"cropSpecies": {"value": "barley", "span": [507, 513]}},
    {"cropSpecies": {"value": "barley", "span": [518, 524]}},
    {"cropSpecies": {"value": "barley", "span": [529, 535]}},
    {"cropSpecies": {"value": "barley", "span": [540, 546]}},
    {"cropSpecies": {"value": "barley", "span": [551, 557]}},
    {"cropSpecies": {"value": "barley", "span": [562, 568]}},
    {"cropSpecies": {"value": "barley", "span": [573, 579]}},
    {"cropSpecies": {"value": "barley", "span": [584, 590]}},
    {"cropSpecies": {"value": "barley", "span": [595, 601]}},
    {"cropSpecies": {"value": "barley", "span": [606, 612]}},
    {"cropSpecies": {"value": "barley", "span": [617, 623]}},
    {"cropSpecies": {"value": "barley", "span": [628, 634]}},
    {"cropSpecies": {"value": "barley", "span": [639, 645]}},
    {"cropSpecies": {"value": "barley", "span": [650, 656]}},
    {"cropSpecies": {"value": "barley", "span": [661, 667]}},
    {"cropSpecies": {"value": "barley", "span": [672, 678]}},
    {"cropSpecies": {"value": "barley", "span": [683, 689]}},
    {"cropSpecies": {"value": "barley", "span": [694, 700]}},
    {"cropSpecies": {"value": "barley", "span": [705, 711]}},
    {"cropSpecies": {"value": "barley", "span": [716, 722]}},
    {"cropSpecies": {"value": "barley", "span": [727, 733]}},
    {"cropSpecies": {"value": "barley", "span": [738, 744]}},
    {"cropSpecies": {"value": "barley", "span": [749, 755]}},
    {"cropSpecies": {"value": "barley", "span": [760, 766]}},
    {"cropSpecies": {"value": "barley", "span": [771, 777]}},
    {"cropSpecies": {"value": "barley", "span": [782, 788]}},
    {"cropSpecies": {"value": "barley", "span": [793, 799]}},
    {"cropSpecies": {"value": "barley", "span": [804, 810]}},
    {"cropSpecies": {"value": "barley", "span": [815, 821]}},
    {"cropSpecies": {"value": "barley", "span": [826, 832]}},
    {"cropSpecies": {"value": "barley", "span": [837, 843]}},
