### Output JSON Structure ###
```json
{
  "Crops": [
    {"cropSpecies": { "value": "wheat", "span": [122, 128]}},
    {"cropSpecies": { "value": "maize", "span": [136, 142]}},
    {"cropSpecies": { "value": "barley", "span": [153, 159]}},
    {"cropSpecies": { "value": "oats", "span": [165, 170]}},
    {"cropSpecies": { "value": "potatoes", "span": [175, 182]}},
    {"cropSpecies": { "value": "soybeans", "span": [190, 197]}},
    {"cropSpecies": { "value": "rice", "span": [204, 209]}},
    {"cropSpecies": { "value": "sorghum", "span": [214, 221]}},
    {"cropSpecies": { "value": "cotton", "span": [229, 235]}},
    {"cropSpecies": { "value": "sunflower", "span": [241, 248]}},
    {"cropSpecies": { "value": "peanuts", "span": [253, 260]}},
    {"cropSpecies": { "value": "sesame", "span": [265, 271]}},
    {"cropSpecies": { "value": "pumpkin", "span": [277, 283]}},
    {"cropSpecies": { "value": "watermelon", "span": [289, 296]}},
    {"cropSpecies": { "value": "squash", "span": [301, 307]}},
    {"cropSpecies": { "value": "okra", "span": [313, 318]}},
    {"cropSpecies": { "value": "cabbage", "span": [322, 328]}},
    {"cropSpecies": { "value": "broccoli", "span": [334, 340]}},
    {"cropSpecies": { "value": "cauliflower", "span": [346, 354]}},
    {"cropSpecies": { "value": "kale", "span": [362, 366]}},
    {"cropSpecies": { "value": "spinach", "span": [372, 377]}},
    {"cropSpecies": { "value": "beets", "span": [384, 388]}},
    {"cropSpecies": { "value": "carrots", "span": [394, 399]}},
    {"cropSpecies": { "value": "parsnips", "span": [403, 409]}},
    {"cropSpecies": { "value": "turnips", "span": [415, 420]}},
    {"cropSpecies": { "value": "rutabaga", "span": [426, 432]}},
    {"cropSpecies": { "value": "radishes", "span": [436, 442]}},
    {"cropSpecies": { "value": "horseradish", "span": [448, 455]}},
    {"cropSpecies": { "value": "mustard", "span": [463, 468]}},
    {"cropSpecies": { "value": "turnip greens", "span": [474, 481]}},
    {"cropSpecies": { "value": "collard greens", "span": [489, 496]}},
    {"cropSpecies": { "value": "kohlrabi", "span": [504, 510]}},
    {"cropSpecies": { "value": "rutabaga greens", "span": [518, 525]}},
    {"cropSpecies": { "value": "bok choy", "span": [533, 539]}},
    {"cropSpecies": { "value": "celery", "span": [547, 552]}},
    {"cropSpecies": { "value": "fennel", "span": [559, 564]}},
    {"cropSpecies": { "value": "dill", "span": [571, 574]}},
    {"cropSpecies": { "value": "cucumber", "span": [583, 589]}},
    {"cropSpecies": { "value": "bell pepper", "span": [597, 605]}},
    {"cropSpecies": { "value": "onion", "span": [613, 617]}},
    {"cropSpecies": { "value": "garlic", "span": [623, 627]}},
    {"cropSpecies": { "value": "shallot", "span": [631, 636]}},
    {"cropSpecies": { "value": "leek", "span": [641, 644]}},
    {"cropSpecies": { "value": "chive", "span": [652, 655]}},
    {"cropSpecies": { "value": "asparagus", "span": [661, 667]}},
    {"cropSpecies": { "value": "artichoke", "span": [673, 679]}},
    {"cropSpecies": { "value": "cardoon", "span": [683, 688]}},
    {"cropSpecies": { "value": "endive", "span": [695, 699]}},
    {"cropSpecies": { "value": "escarole", "span": [707, 713]}},
    {"cropSpecies": { "value": "radicchio", "span": [719, 725]}},
    {"cropSpecies": { "value": "beet greens", "span": [733, 739]}},
    {"cropSpecies": { "value": "chard", "span": [745, 748]}},
    {"cropSpecies": { "value": "kale greens", "span": [757, 763]}},
    {"cropSpecies": { "value": "collard greens", "span": [771, 778]}},
    {"cropSpecies": { "value": "spinach", "span": [785, 790]}},
    {"cropSpecies": { "value": "turnip greens", "span": [796, 803]}},
    {"cropSpecies": { "value": "watercress", "span": [811, 817]}},
    {"cropSpecies": { "value": "cress", "span": [823, 826]}},
    {"cropSpecies": { "value": "dandelion greens", "span": [832, 839]}},
    {"cropSpecies": { "value": "arugula", "span": [845, 850]}},
    {"cropSpecies": { "value": "lettuce", "span": [857, 862]}},
    {"cropSpecies": { "value": "celery root", "span": [869, 875]}},
    {"cropSpecies": { "value": "parsnip greens", "span": [883, 890]}},
    {"cropSpecies": { "
