### JSON Output ###
```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [123, 136]}},
    {"cropSpecies": {"value": "Drosophila melanogaster", "span": [147, 164]}},
    {"cropSpecies": {"value": "grapes", "span": [220, 226]}},
    {"cropSpecies": {"value": "grapes", "span": [324, 330]}},
    {"cropSpecies": {"value": "grapes", "span": [383, 389]}},
    {"cropSpecies": {"value": "grapes", "span": [455, 461]}},
    {"cropSpecies": {"value": "grapes", "span": [512, 518]}},
    {"cropSpecies": {"value": "grapes", "span": [570, 576]}},
    {"cropSpecies": {"value": "grapes", "span": [630, 636]}},
    {"cropSpecies": {"value": "grapes", "span": [692, 698]}},
    {"cropSpecies": {"value": "grapes", "span": [750, 756]}},
    {"cropSpecies": {"value": "grapes", "span": [810, 816]}},
    {"cropSpecies": {"value": "grapes", "span": [870, 876]}},
    {"cropSpecies": {"value": "grapes", "span": [928, 934]}},
    {"cropSpecies": {"value": "grapes", "span": [988, 994]}},
    {"cropSpecies": {"value": "grapes", "span": [1048, 1054]}},
    {"cropSpecies": {"value": "grapes", "span": [1108, 1114]}},
    {"cropSpecies": {"value": "grapes", "span": [1168, 1174]}},
    {"cropSpecies": {"value": "grapes", "span": [1228, 1234]}},
    {"cropSpecies": {"value": "grapes", "span": [1288, 1294]}},
    {"cropSpecies": {"value": "grapes", "span": [1348, 1354]}},
    {"cropSpecies": {"value": "grapes", "span": [1408, 1414]}},
    {"cropSpecies": {"value": "grapes", "span": [1468, 1474]}},
    {"cropSpecies": {"value": "grapes", "span": [1528, 1534]}},
    {"cropSpecies": {"value": "grapes", "span": [1588, 1594]}},
    {"cropSpecies": {"value": "grapes", "span": [1648, 1654]}},
    {"cropSpecies": {"value": "grapes", "span": [1708, 1714]}},
    {"cropSpecies": {"value": "grapes", "span": [1768, 1774]}},
    {"cropSpecies": {"value": "grapes", "span": [1828, 1834]}},
    {"cropSpecies": {"value": "grapes", "span": [1888, 1894]}},
    {"cropSpecies": {"value": "grapes", "span": [1948, 1954]}},
    {"cropSpecies": {"value": "grapes", "span": [2008, 2014]}},
    {"cropSpecies": {"value": "grapes", "span": [2068, 2074]}},
    {"cropSpecies": {"value": "grapes", "span": [2128, 2134]}},
    {"cropSpecies": {"value": "grapes", "span": [2188, 2194]}},
    {"cropSpecies": {"value": "grapes", "span": [2248, 2254]}},
    {"cropSpecies": {"value": "grapes", "span": [2308, 2314]}},
    {"cropSpecies": {"value": "grapes", "span": [2368, 2374]}},
    {"cropSpecies": {"value": "grapes", "span": [2428, 2434]}},
    {"cropSpecies": {"value": "grapes", "span": [2488, 2494]}},
    {"cropSpecies": {"value": "grapes", "span": [2548, 2554]}},
    {"cropSpecies": {"value": "grapes", "span": [2608, 2614]}},
    {"cropSpecies": {"value": "grapes", "span": [2668, 2674]}},
    {"cropSpecies": {"value": "grapes", "span": [2728, 2734]}},
    {"cropSpecies": {"value": "grapes", "span": [2788, 2794]}},
    {"cropSpecies": {"value": "grapes", "span": [2848, 2854]}},
    {"cropSpecies": {"value": "grapes", "span": [2908, 2914]}},
    {"cropSpecies": {"value": "grapes", "span": [2968, 2974]}},
    {"cropSpecies": {"value": "grapes", "span": [3028, 3034]}},
    {"cropSpecies": {"value": "grapes", "span": [3088, 3094]}},
    {"cropSpecies": {"value": "grapes", "span": [3148, 3154]}},
    {"cropSpecies": {"value": "grapes", "span": [3208, 3214]}},
    {"cropSpecies": {"value": "grapes", "span": [3268, 3274]}},
    {"cropSpecies": {"value": "grapes", "span": [3328, 3334]}},
    {"cropSpecies": {"value": "grapes", "span": [3388, 3394]}},
    {"cropSpecies": {"value": "grapes", "span": [3448, 3454]}},
    {"cropSpecies": {"value": "grapes", "span": [3508, 3514]}},
    {"cropSpecies": {"value": "grapes", "span": [3568, 3574]}},
    {"cropSpecies": {"value": "grapes", "span": [3628, 3634]}},
    {"cropSpecies": {"value": "grapes", "span": [3688, 3694]}},
    {"cropSpecies": {"value": "grapes", "span": [3748, 3754]}},
    {"cropSpecies": {"value": "grapes", "span": [3808, 3814]}},
    {"cropSpecies": {"value": "grapes", "span": [386
