```json
{
  "Crops": [
    {"cropSpecies": {"value": "Winter wheat", "span": [1566, 1579]}},
    {"cropSpecies": {"value": "plant", "span": [549, 553]}},
    {"cropSpecies": {"value": "plant", "span": [1031, 1035]}},
    {"cropSpecies": {"value": "plants", "span": [1331, 1337]}},
    {"cropSpecies": {"value": "crop", "span": [644, 648]}},
    {"cropSpecies": {"value": "crop", "span": [726, 730]}},
    {"cropSpecies": {"value": "crop", "span": [1385, 1389]}},
    {"cropSpecies": {"value": "crop growth", "span": [771, 783]}},
    {"cropSpecies": {"value": "plant biomass", "span": [596, 610]}},
    {"cropSpecies": {"value": "plant biomass", "span": [683, 697]}}
  ],
  "Soil": [
    {"soilProperties": {"value": "soil properties", "span": [621, 634]}},
    {"soilProperties": {"value": "soil properties", "span": [753, 766]}},
    {"soilProperties": {"value": "soil water stable aggregation", "span": [656, 680]}},
    {"soilReferenceGroup": {"value": "Soil", "span": [157, 162]}},
    {"soilReferenceGroup": {"value": "Soil", "span": [217, 222]}},
    {"soilReferenceGroup": {"value": "soil", "span": [238, 242]}},
    {"soilReferenceGroup": {"value": "soil", "span": [332, 336]}},
    {"soilReferenceGroup": {"value": "soil", "span": [417, 421]}},
    {"soilReferenceGroup": {"value": "soil", "span": [444, 448]}},
    {"soilReferenceGroup": {"value": "soil", "span": [469, 473]}},
    {"soilReferenceGroup": {"value": "soil", "span": [494, 498]}},
    {"soilReferenceGroup": {"value": "soil", "span": [523, 527]}},
    {"soilReferenceGroup": {"value": "soil", "span": [548, 552]}},
    {"soilReferenceGroup": {"value": "soil", "span": [575, 579]}},
    {"soilReferenceGroup": {"value": "soil", "span": [604, 608]}},
    {"soilReferenceGroup": {"value": "soil", "span": [631, 635]}},
    {"soilReferenceGroup": {"value": "soil", "span": [662, 666]}},
    {"soilReferenceGroup": {"value": "soil", "span": [689, 693]}},
    {"soilReferenceGroup": {"value": "soil", "span": [716, 720]}},
    {"soilReferenceGroup": {"value": "soil", "span": [741, 745]}},
    {"soilReferenceGroup": {"value": "soil", "span": [764, 768]}},
    {"soilReferenceGroup": {"value": "soil", "span": [787, 791]}},
    {"soilReferenceGroup": {"value": "soil", "span": [810, 814]}},
    {"soilReferenceGroup": {"value": "soil", "span": [833, 837]}},
    {"soilReferenceGroup": {"value": "soil", "span": [856, 860]}},
    {"soilReferenceGroup": {"value": "soil", "span": [879, 883]}},
    {"soilReferenceGroup": {"value": "soil", "span": [902, 906]}},
    {"soilReferenceGroup": {"value": "soil", "span": [925, 929]}},
    {"soilReferenceGroup": {"value": "soil", "span": [948, 952]}},
    {"soilReferenceGroup": {"value": "soil", "span": [971, 975]}},
    {"soilReferenceGroup": {"value": "soil", "span": [994, 998]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1017, 1021]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1040, 1044]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1063, 1067]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1086, 1090]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1109, 1113]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1132, 1136]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1155, 1159]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1178, 1182]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1201, 1205]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1224, 1228]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1247, 1251]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1270, 1274]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1293, 1297]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1316, 1320]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1339, 1343]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1362, 1366]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1387, 1391]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1410, 1414]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1433, 1437]}},
    {"soilReferenceGroup": {"value": "soil", "span": [1456
