```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [157, 173]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [281, 289]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [446, 454]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [571, 579]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [632, 640]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [703, 711]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [814, 822]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1041, 1049]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1121, 1129]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1254, 1262]}},
    {"cropSpecies": {"value": "grape", "span": [217, 223]}},
    {"cropVariety": {"value": "soft-skinned fruits", "span": [191, 209]}},
    {"cropVariety": {"value": "susceptible grape varieties", "span": [230, 254]}},
    {"cropSpecies": {"value": "apple", "span": [944, 949]}},
    {"cropSpecies": {"value": "wild host plants", "span": [1020, 1036]}},
    {"cropSpecies": {"value": "host plants", "span": [1069, 1080]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1436, 1444]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1506, 1514]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1621, 1629]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1694, 1702]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1784, 1792]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1874, 1882]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1949, 1957]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2015, 2023]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2065, 2073]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2127, 2135]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2203, 2211]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2263, 2271]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2333, 2341]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2407, 2415]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2481, 2489]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2553, 2561]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2622, 2630]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2691, 2699]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2758, 2766]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2825, 2833]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2900, 2908]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2975, 2983]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3051, 3059]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3126, 3134]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3202, 3210]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3278, 3286]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3354, 3362]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3431, 3439]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3507, 3515]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3584, 3592]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3661, 3669]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3738, 3746]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3815, 3823]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3892, 3900]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3969, 3977]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4046, 4054]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4123, 4131]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4200, 4208]}},
    {"cropSpecies": {"value": "D. suzukii
