### JSON Output ###
```json
{
  "Crops": [
    {"cropSpecies": {"value": "Biomasse", "span": [20, 28]}},
    {"cropSpecies": {"value": "Holz", "span": [141, 146]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [143, 157]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [184, 196]}},
    {"cropSpecies": {"value": "chemische Derivate", "span": [197, 210]}},
    {"cropSpecies": {"value": "Pellets", "span": [262, 268]}},
    {"cropSpecies": {"value": "grüner Treibstoff", "span": [273, 283]}},
    {"cropSpecies": {"value": "Bioraffinerien", "span": [284, 292]}},
    {"cropSpecies": {"value": "Schnittholz", "span": [293, 301]}},
    {"cropSpecies": {"value": "Textilfaser", "span": [304, 311]}},
    {"cropSpecies": {"value": "Rohholz", "span": [322, 329]}},
    {"cropSpecies": {"value": "Plattenindustrie", "span": [330, 339]}},
    {"cropSpecies": {"value": "Biomassepotentiale", "span": [340, 351]}},
    {"cropSpecies": {"value": "forstbasierter Biomasse", "span": [352, 363]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [364, 376]}},
    {"cropSpecies": {"value": "Renewable Carbon Initiative", "span": [377, 392]}},
    {"cropSpecies": {"value": "Bio-based Industries Consortium", "span": [393, 408]}},
    {"cropSpecies": {"value": "nova-Institut", "span": [409, 417]}},
    {"cropSpecies": {"value": "Thünen-Institut für Waldwirtschaft", "span": [418, 434]}},
    {"cropSpecies": {"value": "chemische Industriesektor", "span": [435, 444]}},
    {"cropSpecies": {"value": "agrarischer und forstlicher Biomasse", "span": [445, 457]}},
    {"cropSpecies": {"value": "zukünftige Entwicklungspfade", "span": [458, 471]}},
    {"cropSpecies": {"value": "landwirtschaftlichen und forstwirtschaftlichen Sektor", "span": [472, 486]}},
    {"cropSpecies": {"value": "zukünftige Entwicklungspfade", "span": [487, 499]}},
    {"cropSpecies": {"value": "landwirtschaftlichen und forstwirtschaftlichen Sektor", "span": [500, 514]}},
    {"cropSpecies": {"value": "Holzmarkt", "span": [515, 521]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [522, 533]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [534, 545]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [546, 557]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [558, 569]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [570, 581]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [582, 593]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [594, 605]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [606, 617]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [618, 629]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [630, 641]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [642, 653]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [654, 665]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [666, 677]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [678, 689]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [690, 701]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [702, 713]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [714, 725]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [726, 737]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [738, 749]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [750, 761]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [762, 773]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [774, 785]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [786, 797]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [798, 809]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [810, 821]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [822, 833]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [834, 845]}},
    {"cropSpecies": {"value": "agrarisches und forstlicher Biomasse", "span": [846, 857]}},
