### Solution ###
```json
{
  "Crops": [
    {"cropSpecies": {"value": "Holz", "span": [166, 171]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [216, 234]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [449, 462]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [461, 475]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [487, 501]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [523, 541]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [547, 560]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [561, 575]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [586, 604]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [609, 622]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [623, 637]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [651, 669]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [674, 687]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [688, 702]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [714, 732]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [737, 750]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [751, 765]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [778, 796]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [801, 814]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [815, 829]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [841, 859]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [864, 877]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [878, 892]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [905, 923]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [928, 941]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [942, 956]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [969, 987]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [992, 1005]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1006, 1020]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1034, 1052]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1057, 1070]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1071, 1085]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1099, 1117]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1122, 1135]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1136, 1150]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1164, 1182]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1187, 1200]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1201, 1215]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1229, 1247]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1252, 1265]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1266, 1280]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1294, 1312]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1317, 1330]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1331, 1345]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1359, 1377]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1382, 1395]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1396, 1410]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1424, 1442]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1447, 1460]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1461, 1475]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1489, 1507]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [1512, 1525]}},
    {"cropSpecies": {"value": "holzbasierte Sektoren", "span": [1526, 1540]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [1554, 1572]}},
    {"cropSpecies": {"value": "holzbasierte Fasern",
