```json
{
  "Crops": [
    {"cropSpecies": {"value": "grape", "span": [246, 251]}},
    {"cropSpecies": {"value": "apple", "span": [944, 949]}},
    {"cropSpecies": {"value": "hedges with wild host plants of D. suzukii", "span": [1056, 1084]}},
    {"cropSpecies": {"value": "host plants", "span": [1123, 1134]}},
    {"cropSpecies": {"value": "soft-skinned fruits", "span": [156, 173]}},
    {"cropSpecies": {"value": "fruit-crops", "span": [230, 240]}},
    {"cropSpecies": {"value": "wild host plants", "span": [1074, 1088]}},
    {"cropSpecies": {"value": "fruit", "span": [181, 186]}},
    {"cropSpecies": {"value": "fruits", "span": [275, 281]}},
    {"cropSpecies": {"value": "host plants", "span": [1145, 1156]}},
    {"cropSpecies": {"value": "fruit", "span": [1295, 1300]}},
    {"cropSpecies": {"value": "host plants", "span": [1465, 1476]}},
    {"cropSpecies": {"value": "fruit", "span": [1513, 1518]}},
    {"cropSpecies": {"value": "host plants", "span": [1624, 1635]}},
    {"cropSpecies": {"value": "fruit", "span": [1682, 1687]}},
    {"cropSpecies": {"value": "host plants", "span": [1732, 1743]}},
    {"cropSpecies": {"value": "fruit", "span": [1789, 1794]}},
    {"cropSpecies": {"value": "soft-skinned fruits", "span": [1835, 1852]}},
    {"cropSpecies": {"value": "fruit-crops", "span": [1909, 1919]}},
    {"cropSpecies": {"value": "grape varieties", "span": [260, 273]}},
    {"cropSpecies": {"value": "fruit", "span": [1985, 1990]}},
    {"cropSpecies": {"value": "host plants", "span": [2024, 2035]}},
    {"cropSpecies": {"value": "fruit", "span": [2082, 2087]}},
    {"cropSpecies": {"value": "host plants", "span": [2130, 2141]}},
    {"cropSpecies": {"value": "fruit", "span": [2187, 2192]}},
    {"cropSpecies": {"value": "host plants", "span": [2235, 2246]}},
    {"cropSpecies": {"value": "fruit", "span": [2291, 2296]}},
    {"cropSpecies": {"value": "soft-skinned fruits", "span": [2337, 2354]}},
    {"cropSpecies": {"value": "fruit-crops", "span": [2411, 2421]}},
    {"cropSpecies": {"value": "grape varieties", "span": [2462, 2475]}},
    {"cropSpecies": {"value": "fruit", "span": [2528, 2533]}},
    {"cropSpecies": {"value": "host plants", "span": [2567, 2578]}},
    {"cropSpecies": {"value": "fruit", "span": [2624, 2629]}},
    {"cropSpecies": {"value": "host plants", "span": [2671, 2682]}},
    {"cropSpecies": {"value": "fruit", "span": [2727, 2732]}},
    {"cropSpecies": {"value": "host plants", "span": [2774, 2785]}},
    {"cropSpecies": {"value": "fruit", "span": [2830, 2835]}},
    {"cropSpecies": {"value": "soft-skinned fruits", "span": [2876, 2893]}},
    {"cropSpecies": {"value": "fruit-crops", "span": [2950, 2960]}},
    {"cropSpecies": {"value": "grape varieties", "span": [3001, 3014]}},
    {"cropSpecies": {"value": "fruit", "span": [3067, 3072]}},
    {"cropSpecies": {"value": "host plants", "span": [3106, 3117]}},
    {"cropSpecies": {"value": "fruit", "span": [3163, 3168]}},
    {"cropSpecies": {"value": "host plants", "span": [3210, 3221]}},
    {"cropSpecies": {"value": "fruit", "span": [3266, 3271]}},
    {"cropSpecies": {"value": "host plants", "span": [3313, 3324]}},
    {"cropSpecies": {"value": "fruit", "span": [3369, 3374]}},
    {"cropSpecies": {"value": "soft-skinned fruits", "span": [3415, 3432]}},
    {"cropSpecies": {"value": "fruit-crops", "span": [3489, 3499]}},
    {"cropSpecies": {"value": "grape varieties", "span": [3540, 3553]}},
    {"cropSpecies": {"value": "fruit", "span": [3606, 3611]}},
    {"cropSpecies": {"value": "host plants", "span": [3645, 3656]}},
    {"cropSpecies": {"value": "fruit", "span": [3702, 3707]}},
    {"cropSpecies": {"value": "host plants", "span": [3749, 3760]}},
    {"cropSpecies": {"value": "fruit", "span": [3805, 3810]}},
    {"cropSpecies": {"value": "host plants", "span": [3852, 3863]}},
    {"cropSpecies": {"value": "fruit", "span": [3908, 3913]}},
    {"cropSpecies": {"value": "soft-skinned fruits", "span": [3954, 3971]}},
    {"cropSpecies": {"value": "fruit-crops", "span": [4028, 4038]}},
    {"cropSpecies": {"value": "grape varieties", "span": [4079, 4092]}},
    {"cropSpecies": {"value": "fruit", "span": [4145, 4150]}},
    {"cropSpecies": {"value": "host plants", "span": [4184, 4195]}},
    {"cropSpecies
