```json
{
  "Crops": [
    {"cropSpecies": {"value": "Winter wheat", "span": [1561, 1574]}}
  ],
  "Soil": [
    {"Soil": {"value": "soil properties", "span": [541, 556]}},
    {"Soil": {"value": "soil water stable aggregation", "span": [623, 648]}},
    {"Soil": {"value": "Soil", "span": [1735, 1740]}},
    {"Soil": {"value": "Boden", "span": [1755, 1760]}},
    {"Soil": {"value": "soil-plant system", "span": [703, 717]}},
    {"Soil": {"value": "soil", "span": [241, 246]}},
    {"Soil": {"value": "soil", "span": [291, 296]}},
    {"Soil": {"value": "soil", "span": [329, 334]}},
    {"Soil": {"value": "soil", "span": [391, 396]}},
    {"Soil": {"value": "soil", "span": [463, 468]}},
    {"Soil": {"value": "soil", "span": [529, 534]}},
    {"Soil": {"value": "soil", "span": [583, 588]}},
    {"Soil": {"value": "soil", "span": [661, 666]}},
    {"Soil": {"value": "soil", "span": [727, 732]}},
    {"Soil": {"value": "soil", "span": [771, 776]}},
    {"Soil": {"value": "soil", "span": [815, 820]}},
    {"Soil": {"value": "soil", "span": [881, 886]}},
    {"Soil": {"value": "soil", "span": [947, 952]}},
    {"Soil": {"value": "soil", "span": [1013, 1018]}},
    {"Soil": {"value": "soil", "span": [1079, 1084]}},
    {"Soil": {"value": "soil", "span": [1145, 1150]}},
    {"Soil": {"value": "soil", "span": [1209, 1214]}},
    {"Soil": {"value": "soil", "span": [1275, 1280]}},
    {"Soil": {"value": "soil", "span": [1339, 1344]}},
    {"Soil": {"value": "soil", "span": [1403, 1408]}},
    {"Soil": {"value": "soil", "span": [1469, 1474]}},
    {"Soil": {"value": "soil", "span": [1533, 1538]}},
    {"Soil": {"value": "soil", "span": [1601, 1606]}},
    {"Soil": {"value": "soil", "span": [1665, 1670]}},
    {"Soil": {"value": "soil", "span": [1729, 1734]}},
    {"Soil": {"value": "soil", "span": [1741, 1746]}},
    {"Soil": {"value": "soil", "span": [1761, 1766]}},
    {"Soil": {"value": "Soil", "span": [1817, 1822]}},
    {"Soil": {"value": "soil", "span": [1851, 1856]}},
    {"Soil": {"value": "soil", "span": [1893, 1898]}},
    {"Soil": {"value": "soil", "span": [1933, 1938]}},
    {"Soil": {"value": "soil", "span": [1975, 1980]}},
    {"Soil": {"value": "soil", "span": [2015, 2020]}},
    {"Soil": {"value": "soil", "span": [2057, 2062]}},
    {"Soil": {"value": "soil", "span": [2097, 2102]}},
    {"Soil": {"value": "soil", "span": [2139, 2144]}},
    {"Soil": {"value": "soil", "span": [2181, 2186]}},
    {"Soil": {"value": "soil", "span": [2223, 2228]}},
    {"Soil": {"value": "soil", "span": [2265, 2270]}},
    {"Soil": {"value": "soil", "span": [2307, 2312]}},
    {"Soil": {"value": "soil", "span": [2349, 2354]}},
    {"Soil": {"value": "soil", "span": [2391, 2396]}},
    {"Soil": {"value": "soil", "span": [2433, 2438]}},
    {"Soil": {"value": "soil", "span": [2475, 2480]}},
    {"Soil": {"value": "soil", "span": [2517, 2522]}},
    {"Soil": {"value": "soil", "span": [2559, 2564]}},
    {"Soil": {"value": "soil", "span": [2601, 2606]}},
    {"Soil": {"value": "soil", "span": [2643, 2648]}},
    {"Soil": {"value": "soil", "span": [2685, 2690]}},
    {"Soil": {"value": "soil", "span": [2727, 2732]}},
    {"Soil": {"value": "soil", "span": [2769, 2774]}},
    {"Soil": {"value": "soil", "span": [2811, 2816]}},
    {"Soil": {"value": "soil", "span": [2853, 2858]}},
    {"Soil": {"value": "soil", "span": [2895, 2900]}},
    {"Soil": {"value": "soil", "span": [2937, 2942]}},
    {"Soil": {"value": "soil", "span": [2979, 2984]}},
    {"Soil": {"value": "soil", "span": [3021,
