```json
{
  "Crops": [
    {"cropSpecies": {"value": "maize", "span": [246, 251]}},
    {"cropSpecies": {"value": "maize", "span": [554, 559]}},
    {"cropSpecies": {"value": "maize", "span": [648, 653]}},
    {"cropSpecies": {"value": "maize", "span": [1464, 1469]}},
    {"cropSpecies": {"value": "R. irregulare", "span": [734, 746]}},
    {"cropSpecies": {"value": "F. mosseae", "span": [748, 757]}},
    {"cropSpecies": {"value": "F. caledonium", "span": [759, 772]}},
    {"cropSpecies": {"value": "Bacillus atrophaeus Abi05", "span": [785, 806]}},
    {"cropSpecies": {"value": "Alternaria", "span": [940, 949]}},
    {"cropSpecies": {"value": "Fusarium", "span": [951, 958]}},
    {"cropSpecies": {"value": "Bacillus atrophaeus Abi05", "span": [1005, 1026]}},
    {"cropSpecies": {"value": "Acidobacteria", "span": [864, 877]}},
    {"cropSpecies": {"value": "Actinobacteria", "span": [879, 893]}},
    {"cropSpecies": {"value": "Alpha-Proteobacteria", "span": [895, 914]}},
    {"cropSpecies": {"value": "Beta-Proteobacteria", "span": [916, 933]}},
    {"cropSpecies": {"value": "Cyanobacteria", "span": [935, 948]}},
    {"cropSpecies": {"value": "Firmicutes", "span": [950, 959]}},
    {"cropSpecies": {"value": "total fungal population", "span": [1028, 1047]}},
    {"cropSpecies": {"value": "diammonium phosphate", "span": [603, 623]}},
    {"cropSpecies": {"value": "microgranular fertilizer", "span": [625, 646]}},
    {"cropSpecies": {"value": "biogas slurry", "span": [521, 534]}},
    {"cropSpecies": {"value": "maize", "span": [1464, 1469]}},
    {"cropSpecies": {"value": "R. irregulare", "span": [734, 746]}},
    {"cropSpecies": {"value": "F. mosseae", "span": [748, 757]}},
    {"cropSpecies": {"value": "F. caledonium", "span": [759, 772]}},
    {"cropSpecies": {"value": "Bacillus atrophaeus Abi05", "span": [785, 806]}},
    {"cropSpecies": {"value": "Alternaria", "span": [940, 949]}},
    {"cropSpecies": {"value": "Fusarium", "span": [951, 958]}},
    {"cropSpecies": {"value": "Bacillus atrophaeus Abi05", "span": [1005, 1026]}},
    {"cropSpecies": {"value": "Acidobacteria", "span": [864, 877]}},
    {"cropSpecies": {"value": "Actinobacteria", "span": [879, 893]}},
    {"cropSpecies": {"value": "Alpha-Proteobacteria", "span": [895, 914]}},
    {"cropSpecies": {"value": "Beta-Proteobacteria", "span": [916, 933]}},
    {"cropSpecies": {"value": "Cyanobacteria", "span": [935, 948]}},
    {"cropSpecies": {"value": "Firmicutes", "span": [950, 959]}},
    {"cropSpecies": {"value": "total fungal population", "span": [1028, 1047]}},
    {"cropSpecies": {"value": "diammonium phosphate", "span": [603, 623]}},
    {"cropSpecies": {"value": "microgranular fertilizer", "span": [625, 646]}},
    {"cropSpecies": {"value": "biogas slurry", "span": [521, 534]}},
    {"cropSpecies": {"value": "Rostock Sand", "span": [430, 443]}},
    {"cropSpecies": {"value": "Wanna Sand", "span": [393, 404]}},
    {"cropSpecies": {"value": "Wanna Marsch", "span": [458, 471]}},
    {"cropSpecies": {"value": "Wanna Sand without biogas slurry", "span": [414, 440]}},
    {"cropSpecies": {"value": "Rostock Sand", "span": [430, 443]}},
    {"cropSpecies": {"value": "Wanna Sand", "span": [393, 404]}},
    {"cropSpecies": {"value": "Wanna Marsch", "span": [458, 471]}},
    {"cropSpecies": {"value": "Wanna Sand without biogas slurry", "span": [414, 440]}},
    {"cropSpecies": {"value": "Rostock Sand", "span": [430, 443]}},
    {"cropSpecies": {"value": "Wanna Sand", "span": [393, 404]}},
    {"cropSpecies": {"value": "Wanna Marsch", "span": [458, 471]}},
    {"cropSpecies": {"value": "Wanna Sand without biogas slurry", "span": [414, 440]}},
    {"cropSpecies": {"value": "Rostock Sand", "span": [430, 443]}},
    {"cropSpecies": {"value": "Wanna Sand", "span": [393, 404]}},
    {"cropSpecies": {"value": "Wanna Marsch", "span": [458, 471]}},
    {"cropSpecies": {"value": "Wanna Sand without biogas slurry", "span": [414, 440]}},
    {"cropSpecies": {"value": "Rostock Sand", "span": [430, 443]}},
    {"cropSpecies": {"value": "Wanna Sand", "span": [393, 404]}},
    {"cropSpecies": {"value": "Wanna Marsch", "span": [458, 471]}},
    {"cropSpecies": {"value": "Wanna Sand without biogas slurry", "span": [414, 440]}},
    {"cropSpecies": {"value": "Rostock Sand", "span": [430,
