```json
{
  "Crops": [
    {"cropSpecies": {"value": "Helosciadium nodiflorum L.", "span": [34, 54]}},
    {"cropSpecies": {"value": "H. nodiflorum", "span": [156, 167]}},
    {"cropSpecies": {"value": "diploid Helosciadium nodiflorum", "span": [334, 357]}},
    {"cropSpecies": {"value": "Helosciadium nodiflorum", "span": [461, 481]}},
    {"cropSpecies": {"value": "celery", "span": [513, 519]}},
    {"cropSpecies": {"value": "Helosciadium nodiflorum", "span": [631, 651]}},
    {"cropSpecies": {"value": "wild celery", "span": [753, 764]}},
    {"cropSpecies": {"value": "wild celery", "span": [814, 825]}},
    {"cropSpecies": {"value": "wild celery relatives", "span": [1021, 1039]}},
    {"cropSpecies": {"value": "wild celery", "span": [1096, 1107]}}
  ],
  "Soil": [],
  "Location": [
    {"city": {"value": "Gatersleben", "span": [191, 202]}},
    {"country": {"value": "Germany", "span": [203, 210]}},
    {"city": {"value": "London", "span": [224, 230]}},
    {"country": {"value": "Germany", "span": [581, 588]}},
    {"city": {"value": "Berlin", "span": [595, 601]}},
    {"country": {"value": "Germany", "span": [602, 609]}},
    {"country": {"value": "Germany", "span": [944, 951]}},
    {"country": {"value": "Germany", "span": [1056, 1063]}},
    {"country": {"value": "Germany", "span": [1166, 1173]}},
    {"country": {"value": "Germany", "span": [1277, 1284]}},
    {"country": {"value": "Germany", "span": [1402, 1409]}},
    {"country": {"value": "Germany", "span": [1513, 1520]}},
    {"country": {"value": "Germany", "span": [1624, 1631]}},
    {"country": {"value": "Germany", "span": [1735, 1742]}},
    {"country": {"value": "Germany", "span": [1846, 1853]}},
    {"country": {"value": "Germany", "span": [1957, 1964]}},
    {"country": {"value": "Germany", "span": [2068, 2075]}},
    {"country": {"value": "Germany", "span": [2179, 2186]}},
    {"country": {"value": "Germany", "span": [2290, 2297]}},
    {"country": {"value": "Germany", "span": [2401, 2408]}},
    {"country": {"value": "Germany", "span": [2512, 2519]}},
    {"country": {"value": "Germany", "span": [2623, 2630]}},
    {"country": {"value": "Germany", "span": [2734, 2741]}},
    {"country": {"value": "Germany", "span": [2845, 2852]}},
    {"country": {"value": "Germany", "span": [2956, 2963]}},
    {"country": {"value": "Germany", "span": [3067, 3074]}},
    {"country": {"value": "Germany", "span": [3178, 3185]}},
    {"country": {"value": "Germany", "span": [3289, 3296]}},
    {"country": {"value": "Germany", "span": [3400, 3407]}},
    {"country": {"value": "Germany", "span": [3511, 3518]}},
    {"country": {"value": "Germany", "span": [3622, 3629]}},
    {"country": {"value": "Germany", "span": [3733, 3740]}},
    {"country": {"value": "Germany", "span": [3844, 3851]}},
    {"country": {"value": "Germany", "span": [3955, 3962]}},
    {"country": {"value": "Germany", "span": [4066, 4073]}},
    {"country": {"value": "Germany", "span": [4177, 4184]}},
    {"country": {"value": "Germany", "span": [4288, 4295]}},
    {"country": {"value": "Germany", "span": [4400, 4407]}},
    {"country": {"value": "Germany", "span": [4512, 4519]}},
    {"country": {"value": "Germany", "span": [4624, 4631]}},
    {"country": {"value": "Germany", "span": [4736, 4743]}},
    {"country": {"value": "Germany", "span": [4848, 4855]}},
    {"country": {"value": "Germany", "span": [4960, 4967]}},
    {"country": {"value": "Germany", "span": [5072, 5079]}},
    {"country": {"value": "Germany", "span": [5184, 5191]}},
    {"country": {"value": "Germany", "span": [5296, 5303]}},
    {"country": {"value": "Germany", "span": [5408, 5415]}},
    {"country": {"value": "Germany", "span": [5520, 5527]}},
    {"country": {"value": "Germany", "span": [5632, 5639]}},
    {"country": {"value": "Germany", "span": [5744, 5751]}},
    {"country": {"value": "Germany", "span": [5856, 5863]}},
    {"country": {"value": "Germany", "span": [5968, 5975]}},
    {"country": {"value": "Germany", "span": [6080, 6087]}},
    {"country": {"value": "Germany", "span": [6192, 6199]}},
    {"country": {"value": "Germany", "span": [6304, 6311]}},
    {"country": {"value": "Germany", "span": [6416, 6423]}},
    {"country
