```json
{
  "Crops": [
    {"cropSpecies": {"value": "barley", "span": [31, 37]}},
    {"cropSpecies": {"value": "winter barley", "span": [64, 76]}},
    {"cropSpecies": {"value": "oat", "span": [567, 571]}},
    {"cropSpecies": {"value": "Hordeum vulgare L.", "span": [1241, 1257]}},
    {"cropSpecies": {"value": "winter oilseed rape", "span": [1071, 1087]}},
    {"cropSpecies": {"value": "winter wheat", "span": [1090, 1101]}},
    {"cropSpecies": {"value": "lupine", "span": [1104, 1110]}},
    {"cropSpecies": {"value": "winter rye", "span": [1113, 1123]}},
    {"cropSpecies": {"value": "winter barley", "span": [1145, 1157]}},
    {"cropSpecies": {"value": "OTTO", "span": [1275, 1279]}}
  ],
  "Soil": [
    {"Soil": {"value": "rock phosphate", "span": [156, 169]}},
    {"Soil": {"value": "hydroxylapatite (HA)", "span": [344, 363]}},
    {"Soil": {"value": "soil P", "span": [463, 471]}},
    {"Soil": {"value": "PCAL", "span": [494, 498]}},
    {"Soil": {"value": "soil class A", "span": [841, 854]}},
    {"Soil": {"value": "soil class B", "span": [866, 879]}},
    {"Soil": {"value": "soil class C", "span": [891, 904]}},
    {"Soil": {"value": "PCAL", "span": [918, 922]}},
    {"Soil": {"value": "soil P", "span": [1039, 1047]}},
    {"Soil": {"value": "PCAL", "span": [1059, 1063]}},
    {"Soil": {"value": "soil", "span": [1201, 1206]}},
    {"Soil": {"value": "Boden", "span": [1549, 1554]}},
    {"Soil": {"value": "Soil", "span": [1563, 1568]}},
    {"Soil": {"value": "soil", "span": [1583, 1588]}},
    {"Soil": {"value": "Boden", "span": [1609, 1614]}},
    {"Soil": {"value": "soil", "span": [1630, 1635]}},
    {"Soil": {"value": "soil", "span": [1643, 1648]}},
    {"Soil": {"value": "soil", "span": [1694, 1699]}},
    {"Soil": {"value": "soil", "span": [1729, 1734]}},
    {"Soil": {"value": "soil", "span": [1783, 1788]}},
    {"Soil": {"value": "soil", "span": [1805, 1810]}},
    {"Soil": {"value": "soil", "span": [1827, 1832]}},
    {"Soil": {"value": "soil", "span": [1856, 1861]}},
    {"Soil": {"value": "soil", "span": [1884, 1889]}},
    {"Soil": {"value": "soil", "span": [1921, 1926]}},
    {"Soil": {"value": "soil", "span": [1952, 1957]}},
    {"Soil": {"value": "soil", "span": [1983, 1988]}},
    {"Soil": {"value": "soil", "span": [2011, 2016]}},
    {"Soil": {"value": "soil", "span": [2034, 2039]}},
    {"Soil": {"value": "soil", "span": [2061, 2066]}},
    {"Soil": {"value": "soil", "span": [2083, 2088]}},
    {"Soil": {"value": "soil", "span": [2109, 2114]}},
    {"Soil": {"value": "soil", "span": [2131, 2136]}},
    {"Soil": {"value": "soil", "span": [2155, 2160]}},
    {"Soil": {"value": "soil", "span": [2175, 2180]}},
    {"Soil": {"value": "soil", "span": [2198, 2203]}},
    {"Soil": {"value": "soil", "span": [1224, 1229]}},
    {"Soil": {"value": "soil", "span": [1298, 1303]}},
    {"Soil": {"value": "soil", "span": [1317, 1322]}},
    {"Soil": {"value": "soil", "span": [1340, 1345]}},
    {"Soil": {"value": "soil", "span": [1363, 1368]}},
    {"Soil": {"value": "soil", "span": [1386, 1391]}},
    {"Soil": {"value": "soil", "span": [1409, 1414]}},
    {"Soil": {"value": "soil", "span": [1432, 1437]}},
    {"Soil": {"value": "soil", "span": [1455, 1460]}},
    {"Soil": {"value": "soil", "span": [1478, 1483]}},
    {"Soil": {"value": "soil", "span": [1501, 1506]}},
    {"Soil": {"value": "soil", "span": [1524, 1529]}},
    {"Soil": {"value": "soil", "span": [1546, 1551]}},
    {"Soil": {"value": "soil", "span": [1589, 1594]}},
    {"Soil": {"value": "soil", "span": [1615, 1620]}},
    {"Soil": {"value": "soil", "span": [1636
