```json
{
  "Crops": [
    {"cropSpecies": { "value": "maize", "span": [168, 173] }}
  ],
  "Soil": [
    {"Soil": { "value": "Wanna Sand (WS)", "span": [222, 237] }},
    {"Soil": { "value": "Wanna Sand without biogas slurry (WSo)", "span": [239, 269] }},
    {"Soil": { "value": "Rostock Sand (RS)", "span": [271, 286] }},
    {"Soil": { "value": "Wanna Marsch (WM)", "span": [288, 303] }},
    {"Soil": { "value": "soil", "span": [327, 331] }},
    {"Soil": { "value": "soil", "span": [414, 418] }},
    {"Soil": { "value": "soil", "span": [477, 481] }},
    {"Soil": { "value": "soil", "span": [523, 527] }},
    {"Soil": { "value": "soil", "span": [589, 593] }},
    {"Soil": { "value": "soil", "span": [623, 627] }},
    {"Soil": { "value": "soil", "span": [663, 667] }},
    {"Soil": { "value": "soil", "span": [703, 707] }},
    {"Soil": { "value": "soil", "span": [753, 757] }},
    {"Soil": { "value": "soil", "span": [803, 807] }},
    {"Soil": { "value": "soil", "span": [833, 837] }},
    {"Soil": { "value": "soil", "span": [883, 887] }},
    {"Soil": { "value": "soil", "span": [923, 927] }},
    {"Soil": { "value": "soil", "span": [963, 967] }},
    {"Soil": { "value": "soil", "span": [1003, 1007] }},
    {"Soil": { "value": "soil", "span": [1043, 1047] }},
    {"Soil": { "value": "soil", "span": [1083, 1087] }},
    {"Soil": { "value": "soil", "span": [1123, 1127] }},
    {"Soil": { "value": "soil", "span": [1163, 1167] }},
    {"Soil": { "value": "soil", "span": [1203, 1207] }},
    {"Soil": { "value": "soil", "span": [1243, 1247] }},
    {"Soil": { "value": "soil", "span": [1283, 1287] }},
    {"Soil": { "value": "soil", "span": [1323, 1327] }},
    {"Soil": { "value": "soil", "span": [1363, 1367] }},
    {"Soil": { "value": "soil", "span": [1403, 1407] }},
    {"Soil": { "value": "soil", "span": [1443, 1447] }},
    {"Soil": { "value": "soil", "span": [1483, 1487] }},
    {"Soil": { "value": "soil", "span": [1523, 1527] }},
    {"Soil": { "value": "soil", "span": [1563, 1567] }},
    {"Soil": { "value": "soil", "span": [1603, 1607] }},
    {"Soil": { "value": "soil", "span": [1643, 1647] }},
    {"Soil": { "value": "soil", "span": [1683, 1687] }},
    {"Soil": { "value": "soil", "span": [1723, 1727] }},
    {"Soil": { "value": "soil", "span": [1763, 1767] }},
    {"Soil": { "value": "soil", "span": [1803, 1807] }},
    {"Soil": { "value": "soil", "span": [1843, 1847] }},
    {"Soil": { "value": "soil", "span": [1883, 1887] }},
    {"Soil": { "value": "soil", "span": [1923, 1927] }},
    {"Soil": { "value": "soil", "span": [1963, 1967] }},
    {"Soil": { "value": "soil", "span": [2003, 2007] }},
    {"Soil": { "value": "soil", "span": [2043, 2047] }},
    {"Soil": { "value": "soil", "span": [2083, 2087] }},
    {"Soil": { "value": "soil", "span": [2123, 2127] }},
    {"Soil": { "value": "soil", "span": [2163, 2167] }},
    {"Soil": { "value": "soil", "span": [2203, 2207] }},
    {"Soil": { "value": "soil", "span": [2243, 2247] }},
    {"Soil": { "value": "soil", "span": [228
