```json
{
  "Crops": [
    {"cropSpecies": { "value": "grape", "span": [137, 142] }},
    {"cropSpecies": { "value": "fruit", "span": [169, 174] }},
    {"cropSpecies": { "value": "fruit", "span": [178, 183] }},
    {"cropSpecies": { "value": "fruit", "span": [226, 231] }},
    {"cropSpecies": { "value": "fruit", "span": [236, 241] }},
    {"cropSpecies": { "value": "fruit", "span": [323, 328] }},
    {"cropSpecies": { "value": "fruit", "span": [335, 340] }},
    {"cropSpecies": { "value": "fruit", "span": [489, 494] }},
    {"cropSpecies": { "value": "fruit", "span": [507, 512] }},
    {"cropSpecies": { "value": "fruit", "span": [519, 524] }},
    {"cropSpecies": { "value": "fruit", "span": [540, 545] }},
    {"cropSpecies": { "value": "fruit", "span": [547, 552] }},
    {"cropSpecies": { "value": "fruit", "span": [564, 569] }},
    {"cropSpecies": { "value": "fruit", "span": [571, 576] }},
    {"cropSpecies": { "value": "fruit", "span": [583, 588] }},
    {"cropSpecies": { "value": "fruit", "span": [600, 605] }},
    {"cropSpecies": { "value": "fruit", "span": [607, 612] }},
    {"cropSpecies": { "value": "fruit", "span": [623, 628] }},
    {"cropSpecies": { "value": "fruit", "span": [630, 635] }},
    {"cropSpecies": { "value": "fruit", "span": [642, 647] }},
    {"cropSpecies": { "value": "fruit", "span": [654, 659] }},
    {"cropSpecies": { "value": "fruit", "span": [676, 681] }},
    {"cropSpecies": { "value": "fruit", "span": [683, 688] }},
    {"cropSpecies": { "value": "fruit", "span": [695, 700] }},
    {"cropSpecies": { "value": "fruit", "span": [702, 707] }},
    {"cropSpecies": { "value": "fruit", "span": [719, 724] }},
    {"cropSpecies": { "value": "fruit", "span": [726, 731] }},
    {"cropSpecies": { "value": "fruit", "span": [738, 743] }},
    {"cropSpecies": { "value": "fruit", "span": [750, 755] }},
    {"cropSpecies": { "value": "fruit", "span": [772, 777] }},
    {"cropSpecies": { "value": "fruit", "span": [779, 784] }},
    {"cropSpecies": { "value": "fruit", "span": [786, 791] }},
    {"cropSpecies": { "value": "fruit", "span": [793, 798] }},
    {"cropSpecies": { "value": "fruit", "span": [805, 810] }},
    {"cropSpecies": { "value": "fruit", "span": [812, 817] }},
    {"cropSpecies": { "value": "fruit", "span": [819, 824] }},
    {"cropSpecies": { "value": "fruit", "span": [826, 831] }},
    {"cropSpecies": { "value": "fruit", "span": [833, 838] }},
    {"cropSpecies": { "value": "fruit", "span": [840, 845] }},
    {"cropSpecies": { "value": "fruit", "span": [847, 852] }},
    {"cropSpecies": { "value": "fruit", "span": [854, 859] }},
    {"cropSpecies": { "value": "fruit", "span": [861, 866] }},
    {"cropSpecies": { "value": "fruit", "span": [868, 873] }},
    {"cropSpecies": { "value": "fruit", "span": [875, 880] }},
    {"cropSpecies": { "value": "fruit", "span": [882, 887] }},
    {"cropSpecies": { "value": "fruit", "span": [889, 894] }},
    {"cropSpecies": { "value": "fruit", "span": [891, 896] }},
    {"cropSpecies": { "value": "fruit", "span": [898, 903] }},
    {"cropSpecies": { "value": "fruit", "span": [905, 910] }},
    {"cropSpecies": { "value": "fruit", "span": [912, 917] }},
    {"cropSpecies": { "value": "fruit", "span": [919, 924] }},
    {"cropSpecies": { "value": "fruit", "span": [926, 931] }},
    {"cropSpecies": { "value": "fruit", "span": [933, 938] }},
    {"cropSpecies": { "value": "fruit", "span": [940, 945] }},
    {"cropSpecies": { "value": "fruit", "span": [947, 952] }},
    {"cropSpecies": { "value": "fruit", "span": [954, 959] }},
    {"cropSpecies": { "value": "fruit", "span": [961, 966] }},
    {"cropSpecies": { "
