```json
{
  "Crops": [
    {"cropSpecies": {"value": "Barley", "span": [63, 67]}},
    {"cropSpecies": {"value": "Hordeum vulgare ssp. vulgare", "span": [70, 91]}},
    {"cropSpecies": {"value": "barley", "span": [206, 211]}},
    {"cropSpecies": {"value": "barley", "span": [469, 474]}},
    {"cropSpecies": {"value": "barley", "span": [509, 514]}},
    {"cropSpecies": {"value": "barley", "span": [618, 623]}},
    {"cropSpecies": {"value": "barley", "span": [732, 737]}},
    {"cropSpecies": {"value": "barley", "span": [836, 841]}},
    {"cropSpecies": {"value": "barley", "span": [945, 950]}},
    {"cropSpecies": {"value": "barley", "span": [1062, 1067]}},
    {"cropSpecies": {"value": "barley", "span": [1188, 1193]}},
    {"cropSpecies": {"value": "barley", "span": [1304, 1309]}},
    {"cropSpecies": {"value": "barley", "span": [1420, 1425]}},
    {"cropSpecies": {"value": "barley", "span": [1528, 1533]}},
    {"cropSpecies": {"value": "barley", "span": [1644, 1649]}},
    {"cropSpecies": {"value": "barley", "span": [1751, 1756]}},
    {"cropSpecies": {"value": "barley", "span": [1858, 1863]}},
    {"cropSpecies": {"value": "barley", "span": [1965, 1970]}},
    {"cropSpecies": {"value": "barley", "span": [2072, 2077]}},
    {"cropSpecies": {"value": "barley", "span": [2180, 2185]}},
    {"cropSpecies": {"value": "barley", "span": [2287, 2292]}},
    {"cropSpecies": {"value": "barley", "span": [2394, 2399]}},
    {"cropSpecies": {"value": "barley", "span": [2501, 2506]}},
    {"cropSpecies": {"value": "barley", "span": [2608, 2613]}},
    {"cropSpecies": {"value": "barley", "span": [2715, 2720]}},
    {"cropSpecies": {"value": "barley", "span": [2822, 2827]}},
    {"cropSpecies": {"value": "barley", "span": [2930, 2935]}},
    {"cropSpecies": {"value": "barley", "span": [3037, 3042]}},
    {"cropSpecies": {"value": "barley", "span": [3144, 3149]}},
    {"cropSpecies": {"value": "barley", "span": [3251, 3256]}},
    {"cropSpecies": {"value": "barley", "span": [3358, 3363]}},
    {"cropSpecies": {"value": "barley", "span": [3465, 3470]}},
    {"cropSpecies": {"value": "barley", "span": [3572, 3577]}},
    {"cropSpecies": {"value": "barley", "span": [3679, 3684]}},
    {"cropSpecies": {"value": "barley", "span": [3786, 3791]}},
    {"cropSpecies": {"value": "barley", "span": [3893, 3898]}},
    {"cropSpecies": {"value": "barley", "span": [4000, 4005]}},
    {"cropSpecies": {"value": "barley", "span": [4107, 4112]}},
    {"cropSpecies": {"value": "barley", "span": [4214, 4219]}},
    {"cropSpecies": {"value": "barley", "span": [4321, 4326]}},
    {"cropSpecies": {"value": "barley", "span": [4428, 4433]}},
    {"cropSpecies": {"value": "barley", "span": [4535, 4540]}},
    {"cropSpecies": {"value": "barley", "span": [4642, 4647]}},
    {"cropSpecies": {"value": "barley", "span": [4750, 4755]}},
    {"cropSpecies": {"value": "barley", "span": [4857, 4862]}},
    {"cropSpecies": {"value": "barley", "span": [4964, 4969]}},
    {"cropSpecies": {"value": "barley", "span": [5071, 5076]}},
    {"cropSpecies": {"value": "barley", "span": [5178, 5183]}},
    {"cropSpecies": {"value": "barley", "span": [5285, 5290]}},
    {"cropSpecies": {"value": "barley", "span": [5392, 5397]}},
    {"cropSpecies": {"value": "barley", "span": [5500, 5505]}},
    {"cropSpecies": {"value": "barley", "span": [5607, 5612]}},
    {"cropSpecies": {"value": "barley", "span": [5714, 5719]}},
    {"cropSpecies": {"value": "barley", "span": [58
