```json
{
  "Crops": [
    {"cropSpecies": { "value": "maize", "span": [182, 186] }}
  ],
  "Soil": [
    {"Soil": { "value": "Wanna Sand (WS)", "span": [95, 107] }},
    {"Soil": { "value": "Wanna Sand without biogas slurry (WSo)", "span": [109, 138] }},
    {"Soil": { "value": "Rostock Sand (RS)", "span": [140, 152] }},
    {"Soil": { "value": "Wanna Marsch (WM)", "span": [154, 166] }},
    {"Soil": { "value": "soil", "span": [171, 175] }},
    {"Soil": { "value": "soil", "span": [222, 226] }},
    {"Soil": { "value": "soil", "span": [260, 264] }},
    {"Soil": { "value": "soil", "span": [289, 293] }},
    {"Soil": { "value": "soil", "span": [336, 340] }},
    {"Soil": { "value": "soil", "span": [354, 358] }},
    {"Soil": { "value": "soil", "span": [372, 376] }},
    {"Soil": { "value": "soil", "span": [396, 400] }},
    {"Soil": { "value": "soil", "span": [416, 420] }},
    {"Soil": { "value": "soil", "span": [436, 440] }},
    {"Soil": { "value": "soil", "span": [454, 458] }},
    {"Soil": { "value": "soil", "span": [472, 476] }},
    {"Soil": { "value": "soil", "span": [486, 490] }},
    {"Soil": { "value": "soil", "span": [513, 517] }},
    {"Soil": { "value": "soil", "span": [527, 531] }},
    {"Soil": { "value": "soil", "span": [541, 545] }},
    {"Soil": { "value": "soil", "span": [551, 555] }},
    {"Soil": { "value": "soil", "span": [567, 571] }},
    {"Soil": { "value": "soil", "span": [581, 585] }},
    {"Soil": { "value": "soil", "span": [595, 599] }},
    {"Soil": { "value": "soil", "span": [611, 615] }},
    {"Soil": { "value": "soil", "span": [621, 625] }},
    {"Soil": { "value": "soil", "span": [633, 637] }},
    {"Soil": { "value": "soil", "span": [647, 651] }},
    {"Soil": { "value": "soil", "span": [657, 661] }},
    {"Soil": { "value": "soil", "span": [667, 671] }},
    {"Soil": { "value": "soil", "span": [681, 685] }},
    {"Soil": { "value": "soil", "span": [691, 695] }},
    {"Soil": { "value": "soil", "span": [701, 705] }},
    {"Soil": { "value": "soil", "span": [711, 715] }},
    {"Soil": { "value": "soil", "span": [721, 725] }},
    {"Soil": { "value": "soil", "span": [731, 735] }},
    {"Soil": { "value": "soil", "span": [741, 745] }},
    {"Soil": { "value": "soil", "span": [751, 755] }},
    {"Soil": { "value": "soil", "span": [761, 765] }},
    {"Soil": { "value": "soil", "span": [771, 775] }},
    {"Soil": { "value": "soil", "span": [781, 785] }},
    {"Soil": { "value": "soil", "span": [791, 795] }},
    {"Soil": { "value": "soil", "span": [801, 805] }},
    {"Soil": { "value": "soil", "span": [811, 815] }},
    {"Soil": { "value": "soil", "span": [821, 825] }},
    {"Soil": { "value": "soil", "span": [831, 835] }},
    {"Soil": { "value": "soil", "span": [841, 845] }},
    {"Soil": { "value": "soil", "span": [851, 855] }},
    {"Soil": { "value": "soil", "span": [861, 865] }},
    {"Soil": { "value": "soil", "span": [871, 875] }},
    {"Soil": { "value": "soil", "span": [881, 885] }},
    {"Soil": { "value": "soil", "span": [891, 895] }},
    {"Soil": { "value": "soil", "span": [901, 905] }},
    {"Soil
