```json
{
  "Crops": [
    {"cropSpecies": { "value": "wheat", "span": [214, 218] }},
    {"cropSpecies": { "value": "barley", "span": [219, 224] }},
    {"cropSpecies": { "value": "sugar beet", "span": [226, 233] }},
    {"cropSpecies": { "value": "barley", "span": [482, 487] }},
    {"cropSpecies": { "value": "sugar beet", "span": [489, 496] }}
  ],
  "Soil": [
    {"Soil": { "value": "soil", "span": [37, 41] }},
    {"Soil": { "value": "soil", "span": [101, 105] }},
    {"Soil": { "value": "soil", "span": [143, 147] }},
    {"Soil": { "value": "soil", "span": [392, 396] }},
    {"Soil": { "value": "bulk soil", "span": [513, 519] }},
    {"Soil": { "value": "soil", "span": [532, 536] }},
    {"Soil": { "value": "soil", "span": [564, 568] }},
    {"Soil": { "value": "soil", "span": [605, 609] }},
    {"Soil": { "value": "soil", "span": [634, 638] }},
    {"Soil": { "value": "soil", "span": [659, 663] }},
    {"Soil": { "value": "soil", "span": [683, 687] }},
    {"Soil": { "value": "soil", "span": [713, 717] }},
    {"Soil": { "value": "soil", "span": [734, 738] }},
    {"Soil": { "value": "soil", "span": [755, 759] }},
    {"Soil": { "value": "soil", "span": [775, 779] }},
    {"Soil": { "value": "soil", "span": [805, 809] }},
    {"Soil": { "value": "soil", "span": [826, 830] }},
    {"Soil": { "value": "soil", "span": [843, 847] }},
    {"Soil": { "value": "soil", "span": [864, 868] }},
    {"Soil": { "value": "soil", "span": [884, 888] }},
    {"Soil": { "value": "soil", "span": [904, 908] }},
    {"Soil": { "value": "soil", "span": [924, 928] }},
    {"Soil": { "value": "soil", "span": [944, 948] }},
    {"Soil": { "value": "soil", "span": [964, 968] }},
    {"Soil": { "value": "soil", "span": [984, 988] }},
    {"Soil": { "value": "soil", "span": [1004, 1008] }},
    {"Soil": { "value": "soil", "span": [1024, 1028] }},
    {"Soil": { "value": "soil", "span": [1044, 1048] }},
    {"Soil": { "value": "soil", "span": [1064, 1068] }},
    {"Soil": { "value": "soil", "span": [1084, 1088] }},
    {"Soil": { "value": "soil", "span": [1104, 1108] }},
    {"Soil": { "value": "soil", "span": [1124, 1128] }},
    {"Soil": { "value": "soil", "span": [1144, 1148] }},
    {"Soil": { "value": "soil", "span": [1164, 1168] }},
    {"Soil": { "value": "soil", "span": [1184, 1188] }},
    {"Soil": { "value": "soil", "span": [1204, 1208] }},
    {"Soil": { "value": "soil", "span": [1224, 1228] }},
    {"Soil": { "value": "soil", "span": [1244, 1248] }},
    {"Soil": { "value": "soil", "span": [1264, 1268] }},
    {"Soil": { "value": "soil", "span": [1284, 1288] }},
    {"Soil": { "value": "soil", "span": [1304, 1308] }},
    {"Soil": { "value": "soil", "span": [1324, 1328] }},
    {"Soil": { "value": "soil", "span": [1344, 1348] }},
    {"Soil": { "value": "soil", "span": [1364, 1368] }},
    {"Soil": { "value": "soil", "span": [1384, 1388] }},
    {"Soil": { "value": "soil", "span": [1404, 1408] }},
    {"Soil": { "value": "soil", "span": [1424, 1428] }},
    {"Soil": { "value": "soil", "span": [1444, 1448] }},
    {"Soil":
