### Output ###
```json
{
  "Crops": [
    {"cropSpecies": {"value": "Holz", "span": [135, 138]}},
    {"cropSpecies": {"value": "holzbasierte Produkte", "span": [139, 152]}},
    {"cropSpecies": {"value": "holzbasierte Fasern", "span": [224, 235]}},
    {"cropSpecies": {"value": "chemische Derivate", "span": [237, 249]}},
    {"cropSpecies": {"value": "holznebenprodukte", "span": [257, 269]}},
    {"cropSpecies": {"value": "Pelletindustrie", "span": [295, 306]}},
    {"cropSpecies": {"value": "grüner Treibstoff", "span": [309, 321]}},
    {"cropSpecies": {"value": "Bioraffinerien", "span": [325, 335]}},
    {"cropSpecies": {"value": "agrare Biomasse", "span": [122, 132]}},
    {"cropSpecies": {"value": "forstliche Biomasse", "span": [139, 151]}},
    {"cropSpecies": {"value": "Biomassepotentiale", "span": [181, 193]}},
    {"cropSpecies": {"value": "Schnittholz", "span": [207, 216]}},
    {"cropSpecies": {"value": "Textilfaser", "span": [218, 227]}}
  ],
  "Soil": [],
  "Location": [
    {"country": {"value": "Deutschland", "span": [123, 130]}},
    {"country": {"value": "Italien", "span": [0, 0]}},  // not found
    {"country": {"value": "Frankreich", "span": [0, 0]}},  // not found
    {"country": {"value": "Spanien", "span": [0, 0]}},  // not found
    {"country": {"value": "Großbritannien", "span": [0, 0]}},  // not found
    {"country": {"value": "Belgien", "span": [0, 0]}},  // not found
    {"country": {"value": "Luxemburg", "span": [0, 0]}},  // not found
    {"country": {"value": "Niederlande", "span": [0, 0]}},  // not found
    {"country": {"value": "Österreich", "span": [0, 0]}},  // not found
    {"country": {"value": "Schweiz", "span": [0, 0]}},  // not found
    {"country": {"value": "Irland", "span": [0, 0]}},  // not found
    {"country": {"value": "Norwegen", "span": [0, 0]}},  // not found
    {"country": {"value": "Schweden", "span": [0, 0]}},  // not found
    {"country": {"value": "Dänemark", "span": [0, 0]}},  // not found
    {"country": {"value": "Finnland", "span": [0, 0]}},  // not found
    {"country": {"value": "Estland", "span": [0, 0]}},  // not found
    {"country": {"value": "Litauen", "span": [0, 0]}},  // not found
    {"country": {"value": "Lettland", "span": [0, 0]}},  // not found
    {"country": {"value": "Polen", "span": [0, 0]}},  // not found
    {"country": {"value": "Russland", "span": [0, 0]}},  // not found
    {"country": {"value": "Ukraine", "span": [0, 0]}},  // not found
    {"country": {"value": "Weißrussland", "span": [0, 0]}},  // not found
    {"country": {"value": "Tschechien", "span": [0, 0]}},  // not found
    {"country": {"value": "Slowakei", "span": [0, 0]}},  // not found
    {"country": {"value": "Slowenien", "span": [0, 0]}},  // not found
    {"country": {"value": "Kroatien", "span": [0, 0]}},  // not found
    {"country": {"value": "Bosnien und Herzegowina", "span": [0, 0]}},  // not found
    {"country": {"value": "Serbien", "span": [0, 0]}},  // not found
    {"country": {"value": "Montenegro", "span": [0, 0]}},  // not found
    {"country": {"value": "Albanien", "span": [0, 0]}},  // not found
    {"country": {"value": "Mazedonien", "span": [0, 0]}},  // not found
    {"country": {"value": "Griechenland", "span": [0, 0]}},  // not found
    {"country": {"value": "Zypern", "span": [0, 0]}},  // not found
    {"country": {"value": "Türkei", "span": [0, 0]}},  // not found
    {"country": {"value": "Israel", "span": [0, 0]}},  // not found
    {"country": {"value": "Jordanien", "span": [0, 0]}},  // not found
    {"country": {"value": "Palästina", "span": [0, 0]}},  // not found
    {"country": {"value": "Libanon", "span": [0, 0]}},  // not found
    {"country": {"value": "Syrien", "span": [0, 0]}},  // not found
    {"country": {"value": "Ägypten", "span": [0, 0]}},  // not found
    {"country": {"value": "Sudan", "span": [0, 0]}},  // not found
    {"country": {"value": "Südsudan", "span": [0, 0]}},  // not found
    {"country": {"value": "Marokko", "span": [0,
