### Output ###

```json
{
  "Crops": [
    {"cropSpecies": {"value": "Holz", "span": [134, 137]}},
    {"cropSpecies": {"value": "Biomasse", "span": [142, 149]}},
    {"cropSpecies": {"value": "Biomasse", "span": [182, 189]}},
    {"cropSpecies": {"value": "Biomasse", "span": [243, 250]}},
    {"cropSpecies": {"value": "Biomasse", "span": [285, 292]}},
    {"cropSpecies": {"value": "Biomasse", "span": [349, 356]}},
    {"cropSpecies": {"value": "Biomasse", "span": [418, 425]}},
    {"cropSpecies": {"value": "Biomasse", "span": [444, 451]}},
    {"cropSpecies": {"value": "Biomasse", "span": [475, 482]}},
    {"cropSpecies": {"value": "Biomasse", "span": [538, 545]}},
    {"cropSpecies": {"value": "Biomasse", "span": [564, 571]}},
    {"cropSpecies": {"value": "Biomasse", "span": [600, 607]}},
    {"cropSpecies": {"value": "Biomasse", "span": [636, 643]}},
    {"cropSpecies": {"value": "Biomasse", "span": [673, 680]}},
    {"cropSpecies": {"value": "Biomasse", "span": [708, 715]}},
    {"cropSpecies": {"value": "Biomasse", "span": [741, 748]}},
    {"cropSpecies": {"value": "Biomasse", "span": [781, 788]}},
    {"cropSpecies": {"value": "Biomasse", "span": [826, 833]}},
    {"cropSpecies": {"value": "Biomasse", "span": [854, 861]}},
    {"cropSpecies": {"value": "Biomasse", "span": [892, 899]}},
    {"cropSpecies": {"value": "Biomasse", "span": [928, 935]}},
    {"cropSpecies": {"value": "Biomasse", "span": [962, 969]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1003, 1010]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1041, 1048]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1075, 1082]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1107, 1114]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1141, 1148]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1173, 1180]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1205, 1212]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1237, 1244]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1269, 1276]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1301, 1308]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1333, 1340]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1365, 1372]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1403, 1410]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1435, 1442]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1467, 1474]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1501, 1508]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1533, 1540]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1565, 1572]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1597, 1604]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1631, 1638]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1663, 1670]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1695, 1702]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1727, 1734]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1761, 1768]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1793, 1800]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1825, 1832]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1857, 1864]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1891, 1898]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1923, 1930]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1955, 1962]}},
    {"cropSpecies": {"value": "Biomasse", "span": [1987, 1994]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2021, 2028]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2053, 2060]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2085, 2092]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2117, 2124]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2151, 2158]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2183, 2190]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2215, 2222]}},
    {"cropSpecies": {"value": "Biomasse", "span": [2247, 2254]}},
    {"cropSpecies": {"
