### Output JSON Structure ###

```json
{
  "Crops": [
    {"cropSpecies": {"value": "Secale cereale L.", "span": [133, 152]}},
    {"cropSpecies": {"value": "rye", "span": [160, 164]}},
    {"cropSpecies": {"value": "rye", "span": [211, 214]}},
    {"cropSpecies": {"value": "rye", "span": [245, 248]}},
    {"cropSpecies": {"value": "rye", "span": [297, 300]}},
    {"cropSpecies": {"value": "rye", "span": [325, 328]}},
    {"cropSpecies": {"value": "rye", "span": [361, 364]}},
    {"cropSpecies": {"value": "rye", "span": [395, 398]}},
    {"cropSpecies": {"value": "rye", "span": [435, 438]}},
    {"cropSpecies": {"value": "Secale cereale", "span": [465, 484]}},
    {"cropSpecies": {"value": "rye", "span": [510, 513]}},
    {"cropSpecies": {"value": "rye", "span": [543, 546]}},
    {"cropSpecies": {"value": "rye", "span": [575, 578]}},
    {"cropSpecies": {"value": "rye", "span": [615, 618]}},
    {"cropSpecies": {"value": "rye", "span": [651, 654]}},
    {"cropSpecies": {"value": "rye", "span": [683, 686]}},
    {"cropSpecies": {"value": "rye", "span": [721, 724]}},
    {"cropSpecies": {"value": "rye", "span": [753, 756]}},
    {"cropSpecies": {"value": "rye", "span": [787, 790]}},
    {"cropSpecies": {"value": "rye", "span": [823, 826]}},
    {"cropSpecies": {"value": "rye", "span": [855, 858]}},
    {"cropSpecies": {"value": "rye", "span": [891, 894]}},
    {"cropSpecies": {"value": "rye", "span": [927, 930]}},
    {"cropSpecies": {"value": "rye", "span": [959, 962]}},
    {"cropSpecies": {"value": "rye", "span": [993, 996]}},
    {"cropSpecies": {"value": "rye", "span": [1031, 1034]}},
    {"cropSpecies": {"value": "rye", "span": [1063, 1066]}},
    {"cropSpecies": {"value": "rye", "span": [1095, 1098]}},
    {"cropSpecies": {"value": "rye", "span": [1131, 1134]}},
    {"cropSpecies": {"value": "rye", "span": [1163, 1166]}},
    {"cropSpecies": {"value": "rye", "span": [1195, 1198]}},
    {"cropSpecies": {"value": "rye", "span": [1231, 1234]}},
    {"cropSpecies": {"value": "rye", "span": [1263, 1266]}},
    {"cropSpecies": {"value": "rye", "span": [1295, 1298]}},
    {"cropSpecies": {"value": "rye", "span": [1331, 1334]}},
    {"cropSpecies": {"value": "rye", "span": [1363, 1366]}},
    {"cropSpecies": {"value": "rye", "span": [1395, 1398]}},
    {"cropSpecies": {"value": "rye", "span": [1431, 1434]}},
    {"cropSpecies": {"value": "rye", "span": [1463, 1466]}},
    {"cropSpecies": {"value": "rye", "span": [1495, 1498]}},
    {"cropSpecies": {"value": "rye", "span": [1531, 1534]}},
    {"cropSpecies": {"value": "rye", "span": [1563, 1566]}},
    {"cropSpecies": {"value": "rye", "span": [1595, 1598]}},
    {"cropSpecies": {"value": "rye", "span": [1631, 1634]}},
    {"cropSpecies": {"value": "rye", "span": [1663, 1666]}},
    {"cropSpecies": {"value": "rye", "span": [1695, 1698]}},
    {"cropSpecies": {"value": "rye", "span": [1731, 1734]}},
    {"cropSpecies": {"value": "rye", "span": [1763, 1766]}},
    {"cropSpecies": {"value": "rye", "span": [1795, 1798]}},
    {"cropSpecies": {"value": "rye", "span": [1831, 1834]}},
    {"cropSpecies": {"value": "rye", "span": [1863, 1866]}},
    {"cropSpecies": {"value": "rye", "span": [1895, 1898]}},
    {"cropSpecies": {"value": "rye", "span": [1931, 1934]}},
    {"cropSpecies": {"value": "rye", "span": [1963, 1966]}},
    {"cropSpecies": {"value": "rye", "span": [1995, 1998]}},
    {"cropSpecies": {"value": "rye", "span": [2031, 2034]}},
    {"cropSpecies": {"value": "rye", "span": [2063, 2066]}},
    {"cropSpecies": {"value": "rye", "span": [2095, 2098]}},
    {"cropSpecies": {"value": "rye", "span": [2131, 2134]}},
    {"cropSpecies": {"value": "rye", "span": [2163, 2166]}},
    {"cropSpecies": {"value": "rye", "span": [2195, 2198]}},
    {"cropSpecies": {"value": "rye", "span": [2231, 2234]}},
    {"cropSpecies": {"value": "rye", "span": [2263, 2266]}},
    {"cropSpecies": {"value": "rye", "span": [229
