```json
{
  "Crops": [],
  "Soil": [
    {"soilOrganicCarbon": { "value": "soil organic carbon", "span": [154, 173] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [196, 199] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [313, 316] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [394, 397] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [429, 432] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [452, 455] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [469, 472] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [483, 486] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [499, 502] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [508, 511] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [518, 521] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [529, 532] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [541, 544] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [553, 556] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [565, 568] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [583, 586] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [603, 606] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [617, 620] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [631, 634] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [647, 650] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [663, 666] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [677, 680] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [693, 696] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [707, 710] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [721, 724] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [737, 740] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [753, 756] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [769, 772] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [785, 788] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [801, 804] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [817, 820] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [833, 836] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [849, 852] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [865, 868] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [881, 884] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [897, 900] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [913, 916] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [929, 932] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [945, 948] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [961, 964] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [977, 980] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [993, 996] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1009, 1012] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1025, 1028] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1041, 1044] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1057, 1060] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1073, 1076] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1089, 1092] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1105, 1108] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1121, 1124] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1137, 1140] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1153, 1156] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1169, 1172] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1185, 1188] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1201, 1204] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1217, 1220] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1233, 1236] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1249, 1252]
