```json
{
  "Crops": [
    {"cropSpecies": {"value": "winter wheat", "span": [234, 246]}},
    {"cropSpecies": {"value": "winter barley", "span": [247, 260]}},
    {"cropSpecies": {"value": "sugar beet", "span": [261, 271]}},
    {"cropSpecies": {"value": "winter barley", "span": [455, 468]}},
    {"cropSpecies": {"value": "sugar beet", "span": [469, 479]}},
    {"cropSpecies": {"value": "crop", "span": [533, 538]}},
    {"cropSpecies": {"value": "catch crop", "span": [551, 561]}},
    {"cropSpecies": {"value": "crop", "span": [570, 575]}},
    {"cropSpecies": {"value": "crop plant", "span": [627, 638]}},
    {"cropSpecies": {"value": "winter barley", "span": [647, 660]}},
    {"cropSpecies": {"value": "sugar beet", "span": [661, 671]}},
    {"cropSpecies": {"value": "crop plant", "span": [725, 736]}},
    {"cropSpecies": {"value": "crop", "span": [788, 793]}},
    {"cropSpecies": {"value": "crop residues", "span": [941, 955]}},
    {"cropSpecies": {"value": "crop", "span": [1014, 1019]}},
    {"cropSpecies": {"value": "farmland", "span": [1061, 1069]}},
    {"cropSpecies": {"value": "Nutzpflanzenproduktion", "span": [1288, 1307]}},
    {"cropSpecies": {"value": "Boden", "span": [1337, 1342]}},
    {"cropSpecies": {"value": "Fruchtfolge", "span": [1251, 1261]}},
    {"cropSpecies": {"value": "Landwirtschaft", "span": [1235, 1248]}},
    {"cropSpecies": {"value": "Nährstoffgehalt", "span": [1262, 1275]}},
    {"cropSpecies": {"value": "Langzeitversuch", "span": [1276, 1287]}},
    {"cropSpecies": {"value": "opendata", "span": [1308, 1315]}},
    {"cropSpecies": {"value": "Boden", "span": [1316, 1321]}},
    {"cropSpecies": {"value": "inspireidentifiziert", "span": [1322, 1336]}},
    {"cropSpecies": {"value": "Tiermist", "span": [1249, 1257]}},
    {"cropSpecies": {"value": "Stickstoffdünger", "span": [1223, 1234]}},
    {"cropSpecies": {"value": "Seasonal development", "span": [1151, 1168]}},
    {"cropSpecies": {"value": "Ploughing", "span": [1169, 1177]}},
    {"cropSpecies": {"value": "Nutrient availability", "span": [1178, 1195]}},
    {"cropSpecies": {"value": "soil fertility", "span": [1196, 1208]}},
    {"cropSpecies": {"value": "agriculture", "span": [1106, 1116]}},
    {"cropSpecies": {"value": "Agricultural research", "span": [1117, 1134]}},
    {"cropSpecies": {"value": "Organic amendments", "span": [1135, 1150]}},
    {"cropSpecies": {"value": "nitrogen fertilizers", "span": [1141, 1157]}},
    {"cropSpecies": {"value": "nitrogen", "span": [1003, 1009]}},
    {"cropSpecies": {"value": "mineral", "span": [921, 927]}},
    {"cropSpecies": {"value": "mineral", "span": [1023, 1029]}},
    {"cropSpecies": {"value": "mineral", "span": [1059, 1065]}},
    {"cropSpecies": {"value": "farmyard manure", "span": [539, 553]}},
    {"cropSpecies": {"value": "horse manure", "span": [890, 901]}},
    {"cropSpecies": {"value": "manure", "span": [964, 970]}},
    {"cropSpecies": {"value": "manure", "span": [1035, 1041]}},
    {"cropSpecies": {"value": "Bacilli", "span": [1009, 1016]}},
    {"cropSpecies": {"value": "bacterial", "span": [743, 751]}},
    {"cropSpecies": {"value": "bacterial", "span": [824, 832]}},
    {"cropSpecies": {"value": "bacterial", "span": [858, 866]}},
    {"cropSpecies": {"value": "bacterial", "span": [876, 884]}},
    {"cropSpecies": {"value": "bacterial", "span": [943, 951]}},
    {"cropSpecies": {"value": "bacterial", "span": [1086, 1094]}},
    {"cropSpecies": {"value": "network", "span": [1095, 1101]}},
    {"cropSpecies": {"value": "agriculture", "span": [1121, 1131]}},
    {"cropSpecies": {"value": "Agricultural", "span": [1132, 1143]}},
    {"cropSpecies": {"value": "Organic", "span": [1144, 1151]}},
    {"cropSpecies": {"value": "amendments", "span": [1152, 1161]}},
    {"cropSpecies": {"value": "nitrogen", "span": [1162, 1168]}},
    {"cropSpecies": {"value": "fertilizers", "span": [1169, 1179]}},
    {"cropSpecies": {"value": "Seasonal", "span": [1180, 1188]}},
    {"cropSpecies": {"value": "development", "span": [1189, 1199]}},
    {"cropSpecies": {"value": "Ploughing", "span": [1200, 1208]}},
    {"cropSpecies": {"value": "Nutrient", "span": [1209, 1217]}},
    {"cropSpecies": {"value": "availability", "span": [1218, 1228]}},
    {"cropSpecies": {"value": "soil
