```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [154, 169]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [246, 253]}},
    {"cropSpecies": {"value": "SWD", "span": [307, 310]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [451, 466]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [563, 578]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [660, 675]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [784, 799]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1021, 1036]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1204, 1219]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1357, 1372]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1523, 1538]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1645, 1660]}},
    {"cropSpecies": {"value": "apple", "span": [1919, 1924]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2078, 2093]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2251, 2266]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2414, 2429]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2622, 2637]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2834, 2849]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3059, 3074]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3278, 3293]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3502, 3517]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3730, 3745]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3961, 3976]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4201, 4216]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4436, 4451]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4672, 4687]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4912, 4927]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5151, 5166]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5391, 5406]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5630, 5645]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [5870, 5885]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6108, 6123]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6348, 6363]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6587, 6602]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [6827, 6842]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7066, 7081]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7306, 7321]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7545, 7560]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [7785, 7800]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8024, 8039]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8264, 8279]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8503, 8518]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8743, 8758]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [8982, 8997]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [9222, 9237]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [9461, 9476]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [9701, 9716]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [9939, 9954]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [10178, 10193]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [10416, 10431]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [10655, 10670]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [10893, 10908]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [11132, 11147]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [11370, 11385]}
