```json
{
  "Crops": [],
  "Soil": [
    {"soilOrganicCarbon": { "value": "soil organic carbon", "span": [124, 140] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [144, 147] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [198, 201] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [233, 236] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [256, 259] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [309, 312] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [370, 373] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [396, 399] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [462, 465] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [533, 536] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [591, 594] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [672, 675] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [709, 712] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [744, 747] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [799, 802] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [828, 831] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [845, 848] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [871, 874] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [925, 928] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [950, 953] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [972, 975] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1016, 1019] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1042, 1045] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1065, 1068] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1117, 1120] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1165, 1168] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1229, 1232] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1283, 1286] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1322, 1325] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1359, 1362] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1403, 1406] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1458, 1461] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1508, 1511] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1558, 1561] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1614, 1617] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1664, 1667] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1714, 1717] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1764, 1767] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1814, 1817] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1864, 1867] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1914, 1917] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1964, 1967] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [2014, 2017] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [2064, 2067] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [2114, 2117] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [2164, 2167] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [2214, 2217] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [2264, 2267] }},
    {"soilOrganicCarbon": { "value": "SOC", "span": [2314, 2317] }},
    {"soil
