```json
{
  "Crops": [],
  "Soil": [
    {"soilTexture": { "value": "Bodenart", "span": [271, 279] }},
    {"soilTexture": { "value": "Skelett", "span": [286, 294] }},
    {"soilBulkDensity": { "value": "Trockenrohdichte (TRD)", "span": [302, 320] }},
    {"soilAvailableNitrogen": { "value": "Nährstoffansprache", "span": [244, 261] }},
    {"soilOrganicCarbon": { "value": "organischer Kohlenstoffgehalt (Corg)", "span": [346, 376] }}
  ],
  "Location": [
    {"country": { "value": "deutschen", "span": [48, 56] }},
    {"region": { "value": "Bundesländern", "span": [151, 162] }},
    {"region": { "value": "Bundesland", "span": [215, 224] }},
    {"region": { "value": "Bundesland", "span": [234, 243] }},
    {"region": { "value": "Bundesland", "span": [253, 262] }},
    {"region": { "value": "Bundesland", "span": [272, 281] }},
    {"region": { "value": "Bundesland", "span": [291, 300] }},
    {"region": { "value": "Bundesland", "span": [310, 319] }},
    {"region": { "value": "Bundesland", "span": [329, 338] }},
    {"region": { "value": "Bundesland", "span": [348, 357] }},
    {"region": { "value": "Bundesland", "span": [367, 376] }},
    {"region": { "value": "Bundesland", "span": [386, 395] }},
    {"region": { "value": "Bundesland", "span": [405, 414] }},
    {"region": { "value": "Bundesland", "span": [424, 433] }},
    {"region": { "value": "Bundesland", "span": [443, 452] }},
    {"region": { "value": "Bundesland", "span": [462, 471] }},
    {"region": { "value": "Bundesland", "span": [481, 490] }},
    {"region": { "value": "Bundesland", "span": [500, 509] }},
    {"region": { "value": "Bundesland", "span": [519, 528] }},
    {"region": { "value": "Bundesland", "span": [538, 547] }},
    {"region": { "value": "Bundesland", "span": [557, 566] }},
    {"region": { "value": "Bundesland", "span": [576, 585] }},
    {"region": { "value": "Bundesland", "span": [595, 604] }},
    {"region": { "value": "Bundesland", "span": [614, 623] }},
    {"region": { "value": "Bundesland", "span": [633, 642] }},
    {"region": { "value": "Bundesland", "span": [652, 661] }},
    {"region": { "value": "Bundesland", "span": [671, 680] }},
    {"region": { "value": "Bundesland", "span": [690, 699] }},
    {"region": { "value": "Bundesland", "span": [709, 718] }},
    {"region": { "value": "Bundesland", "span": [728, 737] }},
    {"region": { "value": "Bundesland", "span": [747, 756] }},
    {"region": { "value": "Bundesland", "span": [766, 775] }},
    {"region": { "value": "Bundesland", "span": [785, 794] }},
    {"region": { "value": "Bundesland", "span": [804, 813] }},
    {"region": { "value": "Bundesland", "span": [823, 832] }},
    {"region": { "value": "Bundesland", "span": [842, 851] }},
    {"region": { "value": "Bundesland", "span": [861, 870] }},
    {"region": { "value": "Bundesland", "span": [880, 889] }},
    {"region": { "value": "Bundesland", "span": [900, 909] }},
    {"region": { "value": "Bundesland", "span": [919, 928] }},
    {"region": { "value": "Bundesland", "span": [938, 947] }},
    {"region": { "value": "Bundesland", "span": [957, 966] }},
    {"region": { "value": "Bundesland", "span": [976, 985] }},
    {"region": { "value": "Bundesland", "span": [995, 1004] }},
    {"region": { "value": "Bundesland", "span": [1014, 1023] }},
    {"region": { "value": "Bundesland", "span": [1033, 1042] }},
    {"region": { "value": "Bundesland", "span": [105
