```json
{
  "Crops": [],
  "Soil": [
    {"soilOrganicCarbon": {"value": "soil organic carbon", "span": [156, 173]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [201, 204]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [315, 318]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [351, 354]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [407, 410]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [420, 423]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [433, 436]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [478, 481]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [499, 502]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [523, 526]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [547, 550]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [573, 576]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [604, 607]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [631, 634]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [661, 664]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [689, 692]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [716, 719]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [744, 747]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [771, 774]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [798, 801]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [825, 828]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [852, 855]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [879, 882]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [906, 909]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [933, 936]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [960, 963]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [987, 990]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1014, 1017]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1041, 1044]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1068, 1071]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1095, 1098]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1122, 1125]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1149, 1152]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1176, 1179]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1203, 1206]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1230, 1233]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1257, 1260]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1284, 1287]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1311, 1314]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1338, 1341]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1365, 1368]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1392, 1395]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1419, 1422]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1446, 1449]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1473, 1476]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1500, 1503]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1527, 1530]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1554, 1557]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1581, 1584]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1608, 1611]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1635, 1638]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1662, 1665]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1689, 1692]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1716, 1719]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1743, 1746]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1770, 1773]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1797, 1800]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1824, 1827]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1851, 1854]}},
   
