```json
{
  "Crops": [
    {"cropSpecies": {"value": "wheat", "span": [334, 339]}},
    {"cropSpecies": {"value": "barley", "span": [344, 350]}},
    {"cropSpecies": {"value": "sugar beet", "span": [355, 365]}},
    {"cropSpecies": {"value": "barley", "span": [642, 648]}},
    {"cropSpecies": {"value": "sugar beet", "span": [653, 663]}}
  ],
  "Soil": [
    {"soilReferenceGroup": {"value": "Boden", "span": [931, 936]}},
    {"soilDepth": {"value": "V1-V2 region", "span": [814, 824]}},
    {"soilBulkDensity": {"value": "bulk soil", "span": [753, 761]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [201, 206]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [216, 221]}},
    {"soilAvailableNitrogen": {"value": "mineral nutrients", "span": [189, 205]}},
    {"soilAvailableNitrogen": {"value": "mineral N fertilization", "span": [398, 418]}},
    {"soilAvailableNitrogen": {"value": "Nitrogen", "span": [1061, 1068]}},
    {"soilAvailableNitrogen": {"value": "Stickstoffd체nger", "span": [1121, 1135]}},
    {"soilAvailableNitrogen": {"value": "N채hrstoffgehalt", "span": [1156, 1171]}},
    {"soilPH": {"value": "soil fertility", "span": [280, 291]}},
    {"soilTexture": {"value": "Boden", "span": [1207, 1212]}},
    {"soilOrganicCarbon": {"value": "Organic", "span": [1041, 1047]}},
    {"soilOrganicCarbon": {"value": "Organic amendments", "span": [1048, 1064]}},
    {"soilOrganicCarbon": {"value": "Organic", "span": [1103, 1109]}},
    {"soilOrganicCarbon": {"value": "humus development", "span": [173, 188]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [230, 235]}},
    {"soilOrganicCarbon": {"value": "Tiermist", "span": [1136, 1143]}},
    {"soilOrganicCarbon": {"value": "Fruchtfolge", "span": [1144, 1154]}},
    {"soilOrganicCarbon": {"value": "Landwirtschaft", "span": [1155, 1167]}},
    {"soilOrganicCarbon": {"value": "Langzeitversuch", "span": [1168, 1181]}},
    {"soilOrganicCarbon": {"value": "Nutzpflanzenproduktion", "span": [1182, 1200]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1201, 1206]}},
    {"soilOrganicCarbon": {"value": "opendata", "span": [1208, 1215]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1216, 1221]}},
    {"soilOrganicCarbon": {"value": "inspireidentifiziert", "span": [1222, 1239]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1240, 1245]}},
    {"soilOrganicCarbon": {"value": "Tiermist", "span": [1254, 1261]}},
    {"soilOrganicCarbon": {"value": "Fruchtfolge", "span": [1262, 1272]}},
    {"soilOrganicCarbon": {"value": "Landwirtschaft", "span": [1273, 1285]}},
    {"soilOrganicCarbon": {"value": "Langzeitversuch", "span": [1286, 1299]}},
    {"soilOrganicCarbon": {"value": "Nutzpflanzenproduktion", "span": [1300, 1318]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1319, 1324]}},
    {"soilOrganicCarbon": {"value": "opendata", "span": [1325, 1332]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1333, 1338]}},
    {"soilOrganicCarbon": {"value": "inspireidentifiziert", "span": [1339, 1356]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1357, 1362]}},
    {"soilOrganicCarbon": {"value": "Tiermist", "span": [1371, 1378]}},
    {"soilOrganicCarbon": {"value": "Fruchtfolge", "span": [1379, 1389]}},
    {"soilOrganicCarbon": {"value": "Landwirtschaft", "span": [1390, 1402]}},
    {"soilOrganicCarbon": {"value": "Langzeitversuch", "span": [1403, 1416]}},
    {"soilOrganicCarbon": {"value": "Nutzpflanzenproduktion", "span": [1417, 1435]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1436, 1441]}},
    {"soilOrganicCarbon": {"value": "opendata", "span": [1442, 1449]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1450, 1455]}},
    {"soilOrganicCarbon": {"value": "inspireidentifiziert", "span": [1456, 1473]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1474, 1479]}},
    {"soilOrganicCarbon": {"value": "Tiermist", "span": [1488, 1495]}},
    {"soilOrganicCarbon": {"value": "Fruchtfolge", "span": [1496, 1506]}},
    {"soilOrganicCarbon":
