```json
{
  "Crops": [],
  "Soil": [
    {"soilOrganicCarbon": { "value": "soil organic carbon", "span": [156, 175]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [194, 197]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [251, 254]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [324, 327]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [407, 410]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [418, 421]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [432, 435]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [444, 447]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [457, 460]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [471, 474]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [486, 489]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [499, 502]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [513, 516]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [528, 531]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [543, 546]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [558, 561]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [573, 576]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [589, 592]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [605, 608]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [621, 624]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [637, 640]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [653, 656]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [669, 672]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [685, 688]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [701, 704]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [717, 720]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [733, 736]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [749, 752]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [765, 768]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [781, 784]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [797, 800]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [813, 816]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [829, 832]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [845, 848]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [861, 864]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [877, 880]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [893, 896]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [909, 912]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [925, 928]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [941, 944]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [957, 960]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [973, 976]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [989, 992]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1005, 1008]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1021, 1024]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1037, 1040]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1053, 1056]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1069, 1072]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1085, 1088]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1101, 1104]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1117, 1120]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1133, 1136]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1149, 1152]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1165, 1168]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1181, 1184]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1197, 1200]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1213, 1216]}},
    {"soilOrganicCarbon": { "value": "SOC", "span": [1229, 1232]}},
   
