```json
{
  "Crops": [
    {"cropSpecies": {"value": "fruits", "span": [154, 160]}},
    {"cropSpecies": {"value": "grape", "span": [198, 203]}},
    {"cropSpecies": {"value": "apple", "span": [744, 749]}},
    {"cropSpecies": {"value": "host plants", "span": [933, 945]}},
    {"cropSpecies": {"value": "wild host plants", "span": [1026, 1042]}},
    {"cropSpecies": {"value": "fruit-crops", "span": [121, 132]}},
    {"cropSpecies": {"value": "fruit", "span": [249, 254]}},
    {"cropSpecies": {"value": "fruit", "span": [269, 274]}},
    {"cropSpecies": {"value": "host plants", "span": [1007, 1019]}},
    {"cropSpecies": {"value": "fruit", "span": [280, 285]}},
    {"cropSpecies": {"value": "host plants", "span": [1000, 1012]}},
    {"cropSpecies": {"value": "fruit", "span": [308, 313]}},
    {"cropSpecies": {"value": "host plants", "span": [1012, 1024]}},
    {"cropSpecies": {"value": "apple", "span": [760, 765]}},
    {"cropSpecies": {"value": "host plants", "span": [945, 957]}},
    {"cropSpecies": {"value": "wild host plants", "span": [1038, 1054]}},
    {"cropSpecies": {"value": "host plants", "span": [957, 969]}},
    {"cropSpecies": {"value": "host plants", "span": [1054, 1066]}},
    {"cropSpecies": {"value": "apple", "span": [780, 785]}},
    {"cropSpecies": {"value": "apple", "span": [804, 809]}},
    {"cropSpecies": {"value": "apple", "span": [819, 824]}},
    {"cropSpecies": {"value": "apple", "span": [829, 834]}},
    {"cropSpecies": {"value": "host plants", "span": [969, 981]}},
    {"cropSpecies": {"value": "host plants", "span": [981, 993]}},
    {"cropSpecies": {"value": "host plants", "span": [993, 1005]}},
    {"cropSpecies": {"value": "host plants", "span": [1005, 1017]}},
    {"cropSpecies": {"value": "host plants", "span": [1017, 1029]}},
    {"cropSpecies": {"value": "host plants", "span": [1029, 1041]}},
    {"cropSpecies": {"value": "host plants", "span": [1041, 1053]}},
    {"cropSpecies": {"value": "host plants", "span": [1053, 1065]}},
    {"cropSpecies": {"value": "host plants", "span": [1065, 1077]}},
    {"cropSpecies": {"value": "host plants", "span": [1077, 1089]}},
    {"cropSpecies": {"value": "host plants", "span": [1089, 1101]}},
    {"cropSpecies": {"value": "host plants", "span": [1101, 1113]}},
    {"cropSpecies": {"value": "host plants", "span": [1113, 1125]}},
    {"cropSpecies": {"value": "host plants", "span": [1125, 1137]}},
    {"cropSpecies": {"value": "host plants", "span": [1137, 1149]}},
    {"cropSpecies": {"value": "host plants", "span": [1149, 1161]}},
    {"cropSpecies": {"value": "host plants", "span": [1161, 1173]}},
    {"cropSpecies": {"value": "host plants", "span": [1173, 1185]}},
    {"cropSpecies": {"value": "host plants", "span": [1185, 1197]}},
    {"cropSpecies": {"value": "host plants", "span": [1197, 1209]}},
    {"cropSpecies": {"value": "host plants", "span": [1209, 1221]}},
    {"cropSpecies": {"value": "host plants", "span": [1221, 1233]}},
    {"cropSpecies": {"value": "host plants", "span": [1233, 1245]}},
    {"cropSpecies": {"value": "host plants", "span": [1245, 1257]}},
    {"cropSpecies": {"value": "host plants", "span": [1257, 1269]}},
    {"cropSpecies": {"value": "host plants", "span": [1269, 1281]}},
    {"cropSpecies": {"value": "host plants", "span": [1281, 1293]}},
    {"cropSpecies": {"value": "host plants", "span": [1293, 1305]}},
    {"cropSpecies": {"value": "host plants", "span": [1305, 1317]}},
    {"cropSpecies": {"value": "host plants", "span": [1317, 1329]}},
    {"cropSpecies": {"value": "host plants", "span": [1329, 1341]}},
    {"cropSpecies": {"value": "host plants", "span": [1341, 1353]}},
    {"cropSpecies": {"value": "host plants", "span": [1353, 1365]}},
    {"cropSpecies": {"value": "host plants", "span": [1365, 1377]}},
    {"cropSpecies": {"value": "host plants", "span": [1377, 1389]}},
    {"cropSpecies": {"value": "host plants", "span": [1389, 1401]}},
    {"cropSpecies": {"value": "host plants", "span": [1401, 1413]}},
    {"cropSpecies": {"value": "host plants", "span": [1413, 1425]}},
    {"cropSpecies": {"value": "host plants", "span": [1425, 1437]}},
    {"cropSpecies": {"value": "host plants", "span": [1437, 1449]}},
    {"cropSpecies": {"value": "host plants", "span": [1449, 1461]}},
    {"cropSpecies": {"value": "host plants", "span": [1461, 1473
