```json
{
  "Crops": [],
  "Soil": [
    {"soilOrganicCarbon": {"value": "soil organic carbon", "span": [154, 173]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [201, 204]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [313, 316]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [341, 344]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [357, 360]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [393, 396]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [408, 411]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [433, 436]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [446, 449]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [460, 463]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [475, 478]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [499, 502]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [518, 521]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [529, 532]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [541, 544]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [554, 557]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [571, 574]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [594, 597]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [614, 617]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [630, 633]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [645, 648]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [660, 663]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [676, 679]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [699, 702]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [718, 721]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [734, 737]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [749, 752]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [764, 767]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [779, 782]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [794, 797]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [810, 813]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [826, 829]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [841, 844]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [857, 860]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [873, 876]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [889, 892]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [904, 907]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [920, 923]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [935, 938]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [950, 953]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [965, 968]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [980, 983]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [995, 998]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1010, 1013]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1025, 1028]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1040, 1043]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1055, 1058]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1070, 1073]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1085, 1088]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1100, 1103]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1115, 1118]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1130, 1133]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1145, 1148]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1160, 1163]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1175, 1178]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1190, 1193]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1205, 1208]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1220, 1223]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1235, 1238]}},
    {"soilOrganicCarbon": {"value": "SOC", "span": [1250, 1253]}},
    {"soilOrganicCarbon
