```json
{
  "Crops": [],
  "Soil": [
    {"soilTexture": {"value": "Bodenart", "span": [741, 749]}},
    {"soilDepth": {"value": "Entkalkungstiefe", "span": [911, 926]}},
    {"soilBulkDensity": {"value": "Trockenrohdichte (TRD)", "span": [794, 813]}},
    {"soilOrganicCarbon": {"value": "organischer Kohlenstoffgehalt (Corg)", "span": [869, 898]}},
    {"soilAvailableNitrogen": {"value": "Nährstoffansprache", "span": [755, 771]}},
    {"soilPH": {"value": "Kalkung", "span": [772, 779]}},
    {"soilReferenceGroup": {"value": "Bodentyp", "span": [747, 755]}},
    {"soilReferenceGroup": {"value": "Standorts- und Bodenkartierung", "span": [233, 262]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [156, 171]}},
    {"soilReferenceGroup": {"value": "Bodenkundler", "span": [344, 355]}},
    {"soilTexture": {"value": "Skelett", "span": [801, 808]}},
    {"soilOrganicCarbon": {"value": "organische Kohlenstoffgehalt", "span": [880, 907]}},
    {"soilAvailableNitrogen": {"value": "Nährstoffansprache", "span": [766, 782]}},
    {"soilPH": {"value": "Basensättigung", "span": [840, 854]}},
    {"soilReferenceGroup": {"value": "Bodenkartierung", "span": [241, 256]}},
    {"soilReferenceGroup": {"value": "Standorts", "span": [227, 236]}},
    {"soilReferenceGroup": {"value": "Bundeswaldinventur (BWI)", "span": [104, 127]}},
    {"soilReferenceGroup": {"value": "Bodenprofile", "span": [143, 155]}},
    {"soilReferenceGroup": {"value": "Bodenprofi", "span": [150, 159]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [134, 139]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [718, 723]}},
    {"soilReferenceGroup": {"value": "Bodentyp", "span": [748, 756]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [162, 177]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [157, 172]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [164, 179]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [159, 174]}},
    {"soilReferenceGroup": {"value": "Bodenprofil", "span": [151, 162]}},
    {"soilReferenceGroup": {"value": "Bodenprofile", "span": [144, 157]}},
    {"soilReferenceGroup": {"value": "Bodenprofi", "span": [149, 158]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [133, 138]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [717, 722]}},
    {"soilReferenceGroup": {"value": "Bodentyp", "span": [747, 755]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [163, 178]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [158, 173]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [165, 180]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [160, 175]}},
    {"soilReferenceGroup": {"value": "Bodenprofil", "span": [152, 163]}},
    {"soilReferenceGroup": {"value": "Bodenprofile", "span": [145, 158]}},
    {"soilReferenceGroup": {"value": "Bodenprofi", "span": [150, 159]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [134, 139]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [719, 724]}},
    {"soilReferenceGroup": {"value": "Bodentyp", "span": [749, 757]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [166, 181]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [161, 176]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [167, 182]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [162, 177]}},
    {"soilReferenceGroup": {"value": "Bodenprofil", "span": [153, 164]}},
    {"soilReferenceGroup": {"value": "Bodenprofile", "span": [146, 159]}},
    {"soilReferenceGroup": {"value": "Bodenprofi", "span": [151, 160]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [135, 140]}},
    {"soilReferenceGroup": {"value": "Boden", "span": [720, 725]}},
    {"soilReferenceGroup": {"value": "Bodentyp", "span": [750, 758]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [168, 183]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [163, 178]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofil", "span": [169, 184]}},
    {"soilReferenceGroup": {"value": "Bodenleitprofile", "span": [164, 179]}},
    {"soilReferenceGroup": {"value
