```json
{
  "Crops": [
    {"cropSpecies": {"value": "winter wheat", "span": [334, 346]}},
    {"cropSpecies": {"value": "winter barley", "span": [347, 359]}},
    {"cropSpecies": {"value": "sugar beet", "span": [360, 371]}},
    {"cropSpecies": {"value": "winter barley", "span": [544, 556]}},
    {"cropSpecies": {"value": "sugar beet", "span": [557, 568]}
  ],
  "Soil": [
    {"soilTexture": {"value": "mineral", "span": [208, 215]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [220, 225]}},
    {"soilOrganicCarbon": {"value": "humus", "span": [251, 256]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [304, 310]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [462, 468]}},
    {"soilOrganicCarbon": {"value": "organic", "span": [475, 481]}},
    {"soilOrganicCarbon": {"value": "mineral", "span": [509, 516]}},
    {"soilOrganicCarbon": {"value": "mineral", "span": [523, 530]}},
    {"soilOrganicCarbon": {"value": "Boden", "span": [1051, 1056]}},
    {"soilDepth": {"value": "bulk soil", "span": [632, 641]}},
    {"soilDepth": {"value": "long term", "span": [703, 712]}},
    {"soilBulkDensity": {"value": "field replicates", "span": [582, 596]}},
    {"soilPH": {"value": "pH", "span": [0, 0]}},
    {"soilAvailableNitrogen": {"value": "Nitrogen", "span": [279, 287]}},
    {"soilAvailableNitrogen": {"value": "Stickstoffd체nger", "span": [1011, 1026]}},
    {"soilAvailableNitrogen": {"value": "N채hrstoffgehalt", "span": [1034, 1048]}},
    {"soilAvailableNitrogen": {"value": "nitrogen fertilizers", "span": [946, 963]}},
    {"soilAvailableNitrogen": {"value": "mineral N fertilization", "span": [391, 411]}},
    {"soilAvailableNitrogen": {"value": "mineral fertilizer", "span": [238, 253]}},
    {"soilAvailableNitrogen": {"value": "mineral fertilizer", "span": [269, 284]}},
    {"soilAvailableNitrogen": {"value": "mineral fertilization", "span": [716, 733]}},
    {"soilAvailableNitrogen": {"value": "mineral fertilization", "span": [743, 760]}},
    {"soilAvailableNitrogen": {"value": "mineral fertilization", "span": [785, 802]}},
    {"soilAvailableNitrogen": {"value": "Tiermist", "span": [1027, 1034]}},
    {"soilAvailableNitrogen": {"value": "Fruchtfolge", "span": [1049, 1059]}},
    {"soilAvailableNitrogen": {"value": "Landwirtschaft", "span": [1060, 1073]}},
    {"soilAvailableNitrogen": {"value": "Langzeitversuch", "span": [1074, 1087]}},
    {"soilAvailableNitrogen": {"value": "Nutzpflanzenproduktion", "span": [1088, 1106]}},
    {"soilAvailableNitrogen": {"value": "Boden", "span": [1107, 1112]}},
    {"soilAvailableNitrogen": {"value": "inspireidentifiziert", "span": [1113, 1130]}},
    {"soilAvailableNitrogen": {"value": "agriculture", "span": [913, 923]}},
    {"soilAvailableNitrogen": {"value": "Agricultural research", "span": [924, 941]}},
    {"soilAvailableNitrogen": {"value": "Organic amendments", "span": [942, 959]}},
    {"soilAvailableNitrogen": {"value": "nitrogen fertilizers", "span": [960, 977]}},
    {"soilAvailableNitrogen": {"value": "Seasonal development", "span": [978, 996]}},
    {"soilAvailableNitrogen": {"value": "Ploughing", "span": [997, 1005]}},
    {"soilAvailableNitrogen": {"value": "Nutrient availability", "span": [1006, 1024]}},
    {"soilAvailableNitrogen": {"value": "soil fertility", "span": [1025, 1038]}},
    {"soilAvailableNitrogen": {"value": "opendata", "span": [1061, 1068]}},
    {"soilAvailableNitrogen": {"value": "Boden", "span": [1069, 1074]}},
    {"soilAvailableNitrogen": {"value": "Bacilli", "span": [814, 820]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [625, 633]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [640, 648]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [704, 712]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [744, 752]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [786, 794]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [821, 829]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [835, 843]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [849, 857]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [863, 871]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [877, 885]}},
    {"soilAvailableNitrogen": {"value": "bacterial", "span": [891, 899]}},
    {"soilAvailableNit
