```json
{
  "Crops": [
    {"cropSpecies": {"value": "Drosophila suzukii", "span": [154, 169]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [216, 223]}},
    {"cropSpecies": {"value": "SWD", "span": [270, 273]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [345, 360]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [463, 478]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [571, 586]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [660, 675]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [725, 740]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [784, 799]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [843, 858]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1024, 1039]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1091, 1106]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1149, 1164]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1256, 1271]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1318, 1333]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1406, 1421]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1485, 1500]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1551, 1566]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1631, 1646]}},
    {"cropSpecies": {"value": "apple", "span": [1719, 1724]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1874, 1889]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [1964, 1979]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2055, 2070]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2147, 2162]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2232, 2247]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2312, 2327]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2404, 2419]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2491, 2506]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2573, 2588]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2662, 2677]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2748, 2763]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2824, 2839]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2913, 2928]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [2993, 3008]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3081, 3096]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3164, 3179]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3248, 3263]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3325, 3340]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3409, 3424]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3486, 3501]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3568, 3583]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3645, 3660]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3727, 3742]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3804, 3819]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3886, 3901]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [3963, 3978]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4045, 4060]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4122, 4137]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4204, 4219]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4281, 4296]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4363, 4378]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4442, 4457]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4526, 4541]}},
    {"cropSpecies": {"value": "D. suzukii", "span": [4605, 4620]}},
    {"cropSpecies":
