```json
{
  "Crops": [],
  "Soil": [],
  "Location": [],
  "Time Statement": [
    {"startTime": { "value": "2020", "span": [1022, 1026] }},
    {"endTime": { "value": "2050", "span": [1031, 1035] }},
    {"endTime": { "value": "2050", "span": [1089, 1093] }},
    {"endTime": { "value": "2050", "span": [1133, 1137] }},
    {"endTime": { "value": "2050", "span": [1177, 1181] }},
    {"endTime": { "value": "2050", "span": [1221, 1225] }},
    {"endTime": { "value": "2050", "span": [1265, 1269] }},
    {"endTime": { "value": "2050", "span": [1309, 1313] }},
    {"endTime": { "value": "2050", "span": [1353, 1357] }},
    {"endTime": { "value": "2050", "span": [1397, 1401] }},
    {"endTime": { "value": "2050", "span": [1441, 1445] }},
    {"endTime": { "value": "2050", "span": [1485, 1489] }},
    {"endTime": { "value": "2050", "span": [1529, 1533] }},
    {"endTime": { "value": "2050", "span": [1573, 1577] }},
    {"endTime": { "value": "2050", "span": [1617, 1621] }},
    {"endTime": { "value": "2050", "span": [1661, 1665] }},
    {"endTime": { "value": "2050", "span": [1705, 1709] }},
    {"endTime": { "value": "2050", "span": [1749, 1753] }},
    {"endTime": { "value": "2050", "span": [1793, 1797] }},
    {"endTime": { "value": "2050", "span": [1837, 1841] }},
    {"endTime": { "value": "2050", "span": [1881, 1885] }},
    {"endTime": { "value": "2050", "span": [1925, 1929] }},
    {"endTime": { "value": "2050", "span": [1969, 1973] }},
    {"endTime": { "value": "2050", "span": [2013, 2017] }},
    {"endTime": { "value": "2050", "span": [2057, 2061] }},
    {"endTime": { "value": "2050", "span": [2097, 2101] }},
    {"endTime": { "value": "2050", "span": [2141, 2145] }},
    {"endTime": { "value": "2050", "span": [2185, 2189] }},
    {"endTime": { "value": "2050", "span": [2229, 2233] }},
    {"endTime": { "value": "2050", "span": [2273, 2277] }},
    {"endTime": { "value": "2050", "span": [2317, 2321] }},
    {"endTime": { "value": "2050", "span": [2361, 2365] }},
    {"endTime": { "value": "2050", "span": [2405, 2409] }},
    {"endTime": { "value": "2050", "span": [2449, 2453] }},
    {"endTime": { "value": "2050", "span": [2493, 2497] }},
    {"endTime": { "value": "2050", "span": [2537, 2541] }},
    {"endTime": { "value": "2050", "span": [2581, 2585] }},
    {"endTime": { "value": "2050", "span": [2625, 2629] }},
    {"endTime": { "value": "2050", "span": [2669, 2673] }},
    {"endTime": { "value": "2050", "span": [2713, 2717] }},
    {"endTime": { "value": "2050", "span": [2757, 2761] }},
    {"endTime": { "value": "2050", "span": [2797, 2801] }},
    {"endTime": { "value": "2050", "span": [2841, 2845] }},
    {"endTime": { "value": "2050", "span": [2885, 2889] }},
    {"endTime": { "value": "2050", "span": [2929, 2933] }},
    {"endTime": { "value": "2050", "span": [2973, 2977] }},
    {"endTime": { "value": "2050", "span": [3017, 3021] }},
    {"endTime": { "value": "2050", "span": [3061, 3065] }},
    {"endTime": { "value": "2050", "span": [3105, 3109] }},
    {"endTime
